,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
18,1.114188353,0.31123521,0.003239616,4.45E-05,0.0001,"(25,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.01}",0.751445087,0.756201685,0.722710674,0.756735046,0.70494618,0.740127874,0.685327134,0.745868752,0.722543353,0.66939599,0.705301141,0.699000031,0.717047257,0.745903073,0.734192891,0.723783078,0.02588443,1,0.772054956,0.753701849,0.774015896,0.785543288,0.787152286,0.761089301,0.781051396,0.772443218,0.768155037,0.797289121,0.786974868,0.776849097,0.79291779,0.78859078,0.768840825,0.777777981,0.011767654,,0.053994903
106,0.78952295,0.224150558,0.003322029,5.16E-05,0.0001,"(15, 15, 15)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15, 15, 15), 'NN__learning_rate_init': 0.01}",0.739362649,0.785698178,0.693825894,0.696600212,0.699301445,0.728596348,0.687736116,0.732500546,0.738053146,0.698617851,0.716648893,0.722765911,0.728487114,0.738560517,0.739658395,0.723094214,0.024609893,2,0.775597306,0.78360277,0.798676414,0.784111208,0.790048105,0.762478626,0.79438976,0.778511627,0.768926638,0.792943994,0.772667006,0.778315362,0.768306944,0.777296744,0.776304962,0.780145164,0.010064681,,0.05705095
83,3.593829679,1.060160592,0.004024061,0.001511087,0.0001,"(45, 45)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45, 45), 'NN__learning_rate_init': 0.001}",0.745868752,0.780567179,0.698387587,0.733871745,0.711272604,0.745868752,0.699522399,0.757420172,0.68758857,0.673672584,0.716648893,0.715321451,0.693518191,0.734370796,0.745919892,0.722654638,0.02859586,3,0.785694764,0.7799029,0.786937205,0.766600503,0.781316479,0.761040883,0.787066436,0.75955807,0.798532459,0.789936734,0.785604566,0.789986187,0.791493942,0.781139655,0.811654355,0.783764343,0.013128287,,0.061109705
46,1.540723912,0.421866379,0.003270594,4.00E-05,0.0001,"(60,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (60,), 'NN__learning_rate_init': 0.01}",0.739779596,0.780258748,0.70892441,0.750387228,0.705202312,0.69281566,0.705478257,0.740040854,0.734192891,0.653295076,0.733997432,0.709763911,0.727167435,0.711201495,0.71107923,0.720238969,0.028045295,4,0.798695302,0.794393285,0.753424622,0.798730789,0.778347036,0.788502057,0.802898551,0.801626623,0.803077517,0.817141232,0.814290099,0.805074902,0.806706245,0.787695316,0.787008877,0.79584083,0.015176819,,0.075601861
25,0.447928206,0.125046576,0.003195604,0.000129926,0.0001,"(35,)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (35,), 'NN__learning_rate_init': 0.1}",0.722432103,0.760809695,0.727939937,0.761561134,0.716648893,0.727939937,0.643954229,0.730170243,0.681443237,0.68458885,0.721801093,0.705301141,0.726940984,0.74014544,0.725806236,0.718498877,0.02925313,5,0.796930959,0.791042144,0.797166424,0.780889852,0.773775615,0.820447103,0.798945856,0.791917851,0.802630203,0.803935395,0.80110141,0.805633079,0.791948274,0.824763314,0.82638824,0.800501048,0.014285422,,0.082002171
42,1.252717781,0.293514357,0.003278557,8.63E-05,0.0001,"(55,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (55,), 'NN__learning_rate_init': 0.01}",0.734317332,0.768971593,0.722803352,0.745442538,0.716933374,0.717047257,0.652251366,0.757306553,0.711214491,0.68702623,0.687736116,0.699603231,0.722710674,0.722803352,0.717047257,0.717547648,0.028063404,6,0.789703661,0.789963224,0.797101449,0.784111039,0.779810095,0.791423593,0.784229267,0.782809808,0.765256843,0.801626749,0.790528253,0.788580302,0.792834158,0.788405797,0.788601512,0.787665717,0.007985641,,0.070118069
26,1.139342944,0.295263189,0.003307915,0.000267247,0.0001,"(35,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (35,), 'NN__learning_rate_init': 0.01}",0.751594593,0.763227618,0.722710674,0.745442538,0.699603231,0.7228217,0.681804704,0.750180049,0.698814819,0.720290786,0.68758857,0.682187505,0.705202312,0.705083542,0.705478257,0.716135393,0.02539387,7,0.786851359,0.769585132,0.79291779,0.769683811,0.776961929,0.788324019,0.785651724,0.785153893,0.808621388,0.792902098,0.791423868,0.781244701,0.776443916,0.77990273,0.788324019,0.784932825,0.009662237,,0.068797432
75,3.299448077,0.776994862,0.003377755,8.82E-05,0.0001,"(35, 35)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (35, 35), 'NN__learning_rate_init': 0.001}",0.739971595,0.745562761,0.705202312,0.745442538,0.659301799,0.751528413,0.69302712,0.750774969,0.717028129,0.696981685,0.687423109,0.682272154,0.722636061,0.734317332,0.705202312,0.715778153,0.027638652,8,0.794393251,0.768291333,0.795633718,0.78273291,0.797268783,0.80155146,0.777006714,0.762534767,0.805973436,0.7958347,0.77465615,0.795779672,0.794268604,0.789703661,0.80298798,0.789241142,0.012704181,,0.07346299
21,0.448250421,0.174458464,0.003504705,0.001021938,0.0001,"(30,)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30,), 'NN__learning_rate_init': 0.1}",0.751229133,0.780420215,0.658652713,0.70949691,0.699663071,0.739658395,0.698617851,0.686088004,0.705379634,0.682378512,0.722765911,0.703126898,0.699703631,0.751594593,0.727396694,0.714411478,0.030358755,9,0.78360277,0.797193753,0.724356824,0.778399512,0.790005624,0.798126074,0.796978704,0.782424394,0.816098674,0.790827329,0.798188783,0.774776596,0.800185023,0.833213248,0.777391864,0.789451278,0.022824839,,0.0750398
131,3.026345396,0.542163918,0.003596814,5.23E-05,0.0001,"(45, 45, 45)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45, 45, 45), 'NN__learning_rate_init': 0.001}",0.745818118,0.774370609,0.704785889,0.740093426,0.67745244,0.733392714,0.66505405,0.745919892,0.727396694,0.674348491,0.701272079,0.67656023,0.699703631,0.733871745,0.715999384,0.714402626,0.031054195,10,0.785702004,0.779625006,0.789936965,0.778890934,0.780364045,0.796978704,0.783373821,0.7741222,0.773723069,0.79438976,0.776062183,0.803077517,0.765422828,0.807399279,0.781272326,0.784689376,0.011244227,,0.07028675
