,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
51,2.924175978,0.415463318,0.003271373,0.000127518,0.0001,"(5, 5)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5), 'NN__learning_rate_init': 0.001}",0.698814819,0.710576953,0.734317332,0.710982659,0.681443237,0.71107923,0.675846187,0.703126898,0.728578001,0.680996131,0.699159364,0.675646728,0.67656023,0.710982659,0.693208865,0.699421286,0.018174408,1,0.737904646,0.76354033,0.768115942,0.749252718,0.775449612,0.73618313,0.74874684,0.754632405,0.765351543,0.769771044,0.745073281,0.763969164,0.77409927,0.769585062,0.756746985,0.758561465,0.012319003,,0.059140179
11,2.893577019,0.53170577,0.003962866,0.001698,0.0001,"(15,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15,), 'NN__learning_rate_init': 0.001}",0.699603231,0.722432103,0.711156952,0.710398864,0.658663228,0.722765911,0.70494618,0.733997432,0.699301445,0.645604256,0.647517051,0.682187505,0.699663071,0.739779596,0.676603911,0.696974716,0.028480435,2,0.777018069,0.79147625,0.79873577,0.776882852,0.805943991,0.758095575,0.766812249,0.760890158,0.775523253,0.784141885,0.792902098,0.798730662,0.784212676,0.790049905,0.792938869,0.783623617,0.013752673,,0.086648902
15,3.672937886,0.943373949,0.003482834,0.000597524,0.0001,"(20,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20,), 'NN__learning_rate_init': 0.001}",0.699723508,0.745868752,0.693744323,0.734264396,0.69302712,0.693887813,0.705202312,0.715796553,0.711272604,0.668843321,0.61302799,0.676300578,0.699723508,0.728542023,0.670718415,0.696662881,0.030992977,3,0.798722171,0.784258178,0.820425999,0.77105297,0.807384469,0.773951034,0.750628296,0.785629804,0.803047633,0.775568737,0.818970366,0.781360512,0.800134454,0.778419728,0.792902098,0.789497097,0.01836057,,0.092834215
6,0.994174973,0.269358617,0.003376961,0.000312066,0.0001,"(10,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10,), 'NN__learning_rate_init': 0.01}",0.693744323,0.734192891,0.699703631,0.751344947,0.659164675,0.646900769,0.682272154,0.733997432,0.716857959,0.624629151,0.653388343,0.658477793,0.693887813,0.740093426,0.699603231,0.692550569,0.036946915,4,0.794393251,0.794393285,0.797217649,0.762274908,0.795839882,0.785702107,0.787146815,0.775417524,0.771168732,0.80308086,0.797268576,0.788601546,0.790042776,0.792938738,0.779858239,0.787689659,0.010784816,,0.09513909
19,5.938136848,1.180045958,0.003394016,0.000267916,0.0001,"(25,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001}",0.688153771,0.710576953,0.659233603,0.722300951,0.647398844,0.716857959,0.705498165,0.722636061,0.711156952,0.630181414,0.66500881,0.693887813,0.722710674,0.699603231,0.688174412,0.692225308,0.02830203,5,0.823348949,0.830590595,0.853728241,0.830556262,0.824705826,0.804514515,0.800185023,0.817495644,0.844987967,0.855206515,0.814654931,0.83782319,0.820456108,0.833482307,0.842163571,0.828926643,0.015750806,,0.136701335
3,1.657810322,0.290130985,0.00392561,0.00119191,0.0001,"(5,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5,), 'NN__learning_rate_init': 0.001}",0.699723508,0.728596348,0.722543353,0.716648893,0.679842734,0.67085089,0.68811165,0.709239724,0.699522399,0.652251366,0.653040129,0.676603911,0.717028129,0.688049509,0.676603911,0.69191043,0.023262567,6,0.739130435,0.753809541,0.736010247,0.736382597,0.746353905,0.739358698,0.74515053,0.738775269,0.763969164,0.761091271,0.753217309,0.749505671,0.739665826,0.755050343,0.730616003,0.745872454,0.00956065,,0.053962024
2,0.694551516,0.109009806,0.004076544,0.001226496,0.0001,"(5,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5,), 'NN__learning_rate_init': 0.01}",0.693375442,0.74014544,0.705083542,0.710398864,0.692596272,0.682187505,0.659233603,0.726411063,0.74014544,0.633274404,0.61302799,0.664739884,0.716362913,0.699663071,0.699421965,0.691737827,0.03524833,7,0.765126651,0.768330424,0.748033801,0.746398653,0.768318663,0.769747752,0.752401639,0.766441676,0.756705899,0.785702107,0.763987135,0.747868461,0.749373068,0.76945147,0.76976154,0.761843263,0.010857932,,0.070105436
7,2.193216848,0.448582634,0.003521331,0.001038685,0.0001,"(10,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10,), 'NN__learning_rate_init': 0.001}",0.716933374,0.722636061,0.693949073,0.72198291,0.663326137,0.675434608,0.653457389,0.732982798,0.68811165,0.663842987,0.624126083,0.711156952,0.676170787,0.740093426,0.670630687,0.690322328,0.032129431,8,0.756427638,0.771168433,0.80308086,0.762394725,0.781316202,0.750892218,0.753763965,0.750628296,0.752301457,0.769776888,0.763937357,0.763937357,0.759638734,0.758193335,0.76251486,0.763998155,0.013213733,,0.073675827
1,0.222257853,0.078363991,0.00346295,0.00028653,0.0001,"(5,)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5,), 'NN__learning_rate_init': 0.1}",0.635107708,0.734104046,0.696600212,0.711272604,0.690035342,0.66271808,0.699663071,0.722432103,0.705379634,0.649543166,0.682399982,0.693641618,0.680462854,0.716516919,0.66271808,0.689506361,0.026861373,9,0.782042025,0.743292516,0.75949888,0.74874684,0.760204447,0.743405522,0.758177215,0.723386719,0.762534767,0.779858239,0.773871254,0.751300873,0.759833563,0.752395132,0.734591517,0.755542634,0.015460576,,0.066036273
101,0.443980726,0.133578645,0.003465589,0.000100719,0.0001,"(10, 10, 10)",0.1,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10, 10, 10), 'NN__learning_rate_init': 0.1}",0.702470596,0.733730797,0.661592545,0.721117033,0.681952839,0.705379634,0.68702623,0.663602372,0.666641782,0.661225061,0.653295076,0.69302712,0.693928385,0.727939937,0.646955302,0.686658981,0.026733772,10,0.758548012,0.796767196,0.800090985,0.805885449,0.794164705,0.788117718,0.776567775,0.783657497,0.810966611,0.792651322,0.782426028,0.793922712,0.771118664,0.75235146,0.792437415,0.786644903,0.015834829,,0.099985923
50,1.093586604,0.465878349,0.0033264,0.000112825,0.0001,"(5, 5)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5), 'NN__learning_rate_init': 0.01}",0.710866774,0.7228217,0.653040129,0.68811165,0.693825894,0.66505405,0.693641618,0.721373355,0.705379634,0.624654524,0.739971595,0.680996131,0.681952839,0.65350419,0.641305395,0.685099965,0.031632552,11,0.772185072,0.769761332,0.787008877,0.781139655,0.775568664,0.761089301,0.783902382,0.761927287,0.774042226,0.806897843,0.785651443,0.772244367,0.782809808,0.786573749,0.77845907,0.778617405,0.010988835,,0.09351744
