,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
63,0.799293868,0.239123482,0.003714085,0.000221416,0.0001,"(20, 20)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 20), 'NN__learning_rate_init': 0.001}",0.601556341,0.690035342,0.64709249,0.601476587,0.6295385,0.635107708,0.618803128,0.605278919,0.628156044,0.630611694,0.652692343,0.613105432,0.658663228,0.582701639,0.639066269,0.628925711,0.02608904,1,0.6249826,0.644079564,0.650754716,0.613440719,0.662606229,0.616139685,0.652232556,0.654782631,0.627869156,0.644511021,0.634806261,0.650693092,0.643811334,0.640433432,0.636128296,0.639818086,0.013783502,,0.010892375
43,0.803929758,0.155564329,0.004157607,0.00202944,0.0001,"(55,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (55,), 'NN__learning_rate_init': 0.001}",0.606384656,0.6295385,0.682272154,0.64589816,0.609990239,0.627054381,0.627826847,0.583620422,0.6414748,0.621627216,0.664605458,0.592935614,0.612716763,0.630428933,0.653527125,0.628660085,0.025438098,2,0.649494213,0.637796837,0.623498784,0.64192748,0.636974558,0.631075704,0.65337362,0.644452875,0.633622581,0.650116863,0.636199029,0.646077508,0.634475727,0.643262579,0.624906598,0.63915033,0.008606304,,0.010490246
87,0.728667561,0.208106885,0.003802586,5.32E-05,0.0001,"(50, 50)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'NN__learning_rate_init': 0.001}",0.616888363,0.663842987,0.6414748,0.616535921,0.617961578,0.627826847,0.647256785,0.607078427,0.624116761,0.588619502,0.620795858,0.59502222,0.65779585,0.617726501,0.670520231,0.627564175,0.02328707,3,0.662452694,0.630794298,0.628480382,0.656190541,0.662629025,0.632962195,0.643932556,0.665797772,0.632399726,0.640159946,0.648582472,0.668323452,0.654235402,0.633673283,0.646846549,0.647164019,0.01336579,,0.019599844
94,0.550487232,0.114923109,0.00385836,6.59E-05,0.0001,"(60, 60)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (60, 60), 'NN__learning_rate_init': 0.01}",0.586715579,0.650363482,0.644916486,0.618163808,0.624503455,0.634288264,0.604585245,0.613105432,0.630613541,0.616888363,0.665076221,0.624654524,0.626179377,0.627423245,0.644500916,0.627465196,0.018613774,4,0.609599568,0.638220791,0.622812431,0.625242909,0.64377229,0.599232999,0.632206562,0.644583336,0.594788442,0.639388968,0.635058849,0.639219119,0.635645486,0.628477423,0.632779158,0.628068555,0.014914029,,0.000603359
107,1.609419457,0.559738589,0.003694232,5.25E-05,0.0001,"(15, 15, 15)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15, 15, 15), 'NN__learning_rate_init': 0.001}",0.578429662,0.664851907,0.66939599,0.61849711,0.604585245,0.645604256,0.600356061,0.617961578,0.670387488,0.606391478,0.664269265,0.593669476,0.623523826,0.611939944,0.641738245,0.627440102,0.028939019,5,0.654782631,0.642213216,0.636858704,0.665556313,0.640015423,0.634655904,0.666890756,0.6581262,0.65394136,0.63077257,0.65310282,0.650199915,0.644452875,0.629526409,0.662075538,0.648211376,0.011908908,,0.020771274
119,0.975037305,0.242612849,0.0037714,4.28E-05,0.0001,"(30, 30, 30)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30, 30, 30), 'NN__learning_rate_init': 0.001}",0.601476587,0.670718415,0.681952839,0.638254099,0.617652658,0.635521752,0.622365191,0.617961578,0.611068471,0.584889581,0.63583815,0.622995427,0.620795858,0.592935614,0.655799317,0.627348369,0.025974457,6,0.65526955,0.652285298,0.624783958,0.642357807,0.660710527,0.645895364,0.652039483,0.65684019,0.650471731,0.630822065,0.608820584,0.648237087,0.631932945,0.640433432,0.626321867,0.641814793,0.014024381,,0.014466424
35,0.734499105,0.162799268,0.003781732,0.000376087,0.0001,"(45,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45,), 'NN__learning_rate_init': 0.001}",0.610745658,0.658275473,0.664269265,0.634288264,0.594864439,0.633984723,0.603167854,0.575063992,0.618163808,0.644916486,0.663586155,0.618344142,0.644916486,0.607330742,0.630428933,0.626823095,0.025249415,7,0.639341389,0.634070355,0.621170862,0.636263211,0.638007652,0.624387352,0.635515634,0.658908631,0.645990501,0.656814371,0.614424013,0.65126724,0.636868554,0.62296045,0.644289581,0.637351986,0.012496743,,0.010528892
139,0.983823093,0.482462996,0.003803873,0.000580007,0.0001,"(55, 55, 55)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (55, 55, 55), 'NN__learning_rate_init': 0.001}",0.605888124,0.674348491,0.679842734,0.623264489,0.624403415,0.628192096,0.59648146,0.574218404,0.601289779,0.629026051,0.641905969,0.613105432,0.627054381,0.649923322,0.622678367,0.626108168,0.026872459,8,0.633111237,0.659503988,0.644511021,0.644585159,0.653914282,0.618957292,0.639926861,0.65039668,0.656736044,0.64607901,0.607597437,0.674039759,0.64497232,0.632418843,0.671294777,0.645202981,0.017117066,,0.019094813
191,0.926526022,0.239304706,0.002491268,0.000437665,0.0001,"(60, 60, 60, 60)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (60, 60, 60, 60), 'NN__learning_rate_init': 0.001}",0.592935614,0.663326137,0.599289683,0.597578983,0.615399831,0.629909471,0.624116761,0.583620422,0.647609464,0.64709249,0.647256785,0.624403415,0.638708932,0.599359095,0.67493558,0.625702844,0.026540278,9,0.655995325,0.656005725,0.582587013,0.629777418,0.676652062,0.65100131,0.642912437,0.656977317,0.630320852,0.65210936,0.624070363,0.656606418,0.641194868,0.640766555,0.636908499,0.642259035,0.020621628,,0.016556191
31,0.846534125,0.173585116,0.003890594,0.001313762,0.0001,"(40,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40,), 'NN__learning_rate_init': 0.001}",0.595510922,0.650363482,0.663326137,0.628156044,0.635863113,0.620795858,0.634595568,0.599126125,0.617726501,0.635863113,0.641905969,0.630181414,0.5892388,0.612716763,0.623746722,0.625274435,0.019668472,10,0.655780443,0.626225988,0.635538399,0.616091272,0.639997436,0.626751086,0.627831272,0.655304348,0.619165315,0.639097615,0.626300605,0.653789752,0.620143102,0.627455602,0.633623782,0.633539734,0.012562197,,0.008265299
