k,Kmeans,GMM
2,0.5625965996908809,0.6136012364760433
3,0.5672333848531684,0.6352395672333848
4,0.5795981452859351,0.5811437403400309
5,0.5919629057187017,0.633693972179289
6,0.6043276661514683,0.6275115919629057
7,0.598145285935085,0.6275115919629057
8,0.5935085007727975,0.6105100463678517
9,0.6058732612055642,0.6259659969088099
10,0.6089644513137558,0.6321483771251932
11,0.6089644513137558,0.6259659969088099
12,0.6213292117465224,0.6259659969088099
13,0.6367851622874807,0.6275115919629057
14,0.6367851622874807,0.6290571870170015
15,0.6383307573415765,0.633693972179289
16,0.6414219474497682,0.6460587326120556
18,0.624420401854714,0.6367851622874807
20,0.6491499227202473,0.6491499227202473
22,0.6367851622874807,0.6491499227202473
24,0.633693972179289,0.652241112828439
26,0.6398763523956723,0.652241112828439
28,0.6599690880989181,0.6476043276661515
30,0.6646058732612056,0.6506955177743431
32,0.6584234930448223,0.6352395672333848
34,0.6615146831530139,0.6553323029366306
36,0.6707882534775889,0.6599690880989181
40,0.6661514683153014,0.6584234930448223
45,0.6707882534775889,0.6584234930448223
50,0.6599690880989181,0.6537867078825348
55,0.6846986089644513,0.6692426584234931
60,0.6754250386398764,0.6630602782071098
