k,diabetic BIC
2,4282.637104579293
3,-1895.346385864897
4,-4028.2407667632233
5,-4195.407110345161
6,-3771.9632947515233
7,-5777.334081053101
8,-5626.347648042659
9,-3299.63611289637
10,-4919.64816203409
11,-5270.649668375775
12,-5128.082777963495
13,-5089.767057725637
14,-4817.217629251481
15,-4468.563863443287
16,-4732.060040798152
18,-4331.506318842789
20,-3617.2874792802304
22,-3567.9483090007197
24,-3206.0193063728148
26,-2342.9942223637518
28,-2433.2050701947082
30,-2081.3302630043854
32,-936.3925635618325
34,-1004.0725344981183
36,-761.8378541580769
40,898.719196456299
45,1582.122503033832
50,3318.060706071301
55,4285.335154773413
60,5296.509121499752
