k,Kmeans,GMM
2,0.01132228057698159,0.06802895388411868
3,0.02413015485223436,0.09124920987669233
4,0.03696432294715929,0.06779101623723259
5,0.04612359693717271,0.09433788937856075
6,0.050017424295648,0.07617213062799898
7,0.04820734230837585,0.09590133589252582
8,0.05633556981389614,0.08704968036850098
9,0.06242721318216381,0.08159280692230893
10,0.07857309100282577,0.10054701314558014
11,0.0666790098764792,0.10386729049036086
12,0.08106602370866538,0.1117769384832996
13,0.09618303600304208,0.11439096495608969
14,0.08635700957397398,0.12067367506049084
15,0.09663684621705707,0.12096085015931778
16,0.09154998520103592,0.11997731233323286
18,0.08602960721428604,0.12695066694099758
20,0.1072463801571903,0.12726910489391763
22,0.10844340368962932,0.13262851022755093
24,0.10171317100819321,0.13650449563898337
26,0.11521839563246093,0.1309468618512073
28,0.1304192639749045,0.13177080785007733
30,0.12520491965072494,0.1301841615453877
32,0.12578106198526806,0.13154058902998486
34,0.13006552398826116,0.15112625281243866
36,0.13742896580565936,0.15178662893108336
40,0.1426874635078207,0.14408218504326423
45,0.14881927603272674,0.1526961388054873
50,0.1315067719940941,0.14265521186071375
55,0.16979869561657449,0.16203138724259625
60,0.15679846558278787,0.15396345920267007
