k,Kmeans,GMM
2,0.5070748058435934,0.5250764423560037
3,0.5046822438403491,0.530407070499232
4,0.5047253099564075,0.5064192438547045
5,0.5053090950851992,0.5186260951952569
6,0.50662978931099,0.5146735827658974
7,0.5057636818658156,0.5157023844272924
8,0.5039931859834148,0.5098932438834153
9,0.504505194252109,0.5098501777673569
10,0.505366516573277,0.5099171695034477
11,0.5036151611869022,0.5084337810614362
12,0.5044860537560831,0.5062804752585163
13,0.5058641694699518,0.5064766653427824
14,0.5052468884731148,0.508079681884956
15,0.5055339959135041,0.5076298802283461
16,0.5045386901201545,0.5074480455160996
18,0.5035146735827659,0.507677731468411
20,0.5038161363951746,0.5064383843507304
22,0.502830400849838,0.5079456984127744
24,0.5018398801804949,0.5091946157784679
26,0.5024763016733579,0.504289863671817
28,0.503064871926156,0.5044190620199922
30,0.5036055909388892,0.5047492355764399
32,0.5025432934094487,0.5056488388896598
34,0.5025528636574617,0.5038783430072591
36,0.5027346983697083,0.5037252190390514
40,0.5014331446399434,0.5029548140740068
45,0.5019116570405922,0.5042755082997976
50,0.5010072686033659,0.5025815744015006
55,0.5015240619960666,0.5033615496145583
60,0.5009976983553529,0.5024810867973644
