k,type,score,label
2,Kmeans,0.252502,0
2,Kmeans,0.252571,0
2,Kmeans,0.263183,1
2,Kmeans,0.272382,1
2,Kmeans,0.269625,0
2,Kmeans,0.393044,1
2,Kmeans,0.220731,0
2,Kmeans,0.299825,1
2,Kmeans,0.168242,1
2,Kmeans,0.117757,0
2,Kmeans,0.279563,0
2,Kmeans,0.354297,1
2,Kmeans,0.170836,1
2,Kmeans,0.229911,0
2,Kmeans,0.302804,1
2,Kmeans,0.408097,1
2,Kmeans,0.212666,0
2,Kmeans,0.02895,0
2,Kmeans,0.206162,1
2,Kmeans,0.272379,1
2,Kmeans,0.140145,1
2,Kmeans,0.34203,0
2,Kmeans,0.295506,0
2,Kmeans,0.25619,1
2,Kmeans,0.206832,0
2,Kmeans,0.124012,0
2,Kmeans,0.110143,0
2,Kmeans,0.056216,0
2,Kmeans,0.228414,0
2,Kmeans,0.296863,0
2,Kmeans,0.36032,1
2,Kmeans,0.230553,0
2,Kmeans,0.211545,0
2,Kmeans,0.305883,0
2,Kmeans,0.441583,1
2,Kmeans,0.355996,1
2,Kmeans,0.261443,1
2,Kmeans,0.281574,0
2,Kmeans,0.271402,1
2,Kmeans,0.2815,0
2,Kmeans,0.083714,1
2,Kmeans,0.360979,1
2,Kmeans,0.284733,1
2,Kmeans,0.232562,0
2,Kmeans,0.157573,1
2,Kmeans,0.23985,0
2,Kmeans,0.357337,1
2,Kmeans,0.275168,1
2,Kmeans,0.244303,0
2,Kmeans,0.216873,1
2,Kmeans,0.098223,1
2,Kmeans,0.290128,1
2,Kmeans,0.244089,1
2,Kmeans,0.117918,1
2,Kmeans,0.395974,1
2,Kmeans,0.23678,1
2,Kmeans,0.281758,0
2,Kmeans,0.092626,0
2,Kmeans,0.048372,0
2,Kmeans,0.345551,1
2,Kmeans,0.095068,1
2,Kmeans,0.353237,1
2,Kmeans,0.119397,0
2,Kmeans,0.188768,0
2,Kmeans,0.117467,0
2,Kmeans,0.359157,1
2,Kmeans,0.399127,1
2,Kmeans,0.151183,1
2,Kmeans,0.404152,1
2,Kmeans,0.244037,1
2,Kmeans,0.281408,1
2,Kmeans,0.314397,0
2,Kmeans,0.285767,0
2,Kmeans,0.139117,0
2,Kmeans,0.316004,1
2,Kmeans,0.263837,1
2,Kmeans,0.41404,1
2,Kmeans,0.059907,0
2,Kmeans,0.155628,0
2,Kmeans,0.073054,0
2,Kmeans,0.312909,1
2,Kmeans,0.192788,0
2,Kmeans,0.039151,0
2,Kmeans,0.190373,0
2,Kmeans,0.173319,1
2,Kmeans,0.279664,0
2,Kmeans,0.070716,1
2,Kmeans,0.304872,1
2,Kmeans,0.304613,0
2,Kmeans,0.05915,0
2,Kmeans,0.331328,1
2,Kmeans,0.294494,0
2,Kmeans,0.165988,1
2,Kmeans,0.100621,0
2,Kmeans,0.412066,1
2,Kmeans,0.126399,1
2,Kmeans,0.098194,0
2,Kmeans,0.278406,1
2,Kmeans,0.044803,1
2,Kmeans,0.144819,1
2,Kmeans,0.116088,0
2,Kmeans,0.16828,1
2,Kmeans,0.232269,0
2,Kmeans,0.169741,1
2,Kmeans,0.285536,0
2,Kmeans,0.152074,0
2,Kmeans,0.267182,0
2,Kmeans,0.407182,1
2,Kmeans,0.336118,1
2,Kmeans,0.131704,0
2,Kmeans,0.211561,0
2,Kmeans,0.200719,1
2,Kmeans,0.297708,0
2,Kmeans,0.288935,1
2,Kmeans,0.233835,0
2,Kmeans,0.201852,0
2,Kmeans,0.191412,1
2,Kmeans,0.075996,1
2,Kmeans,0.42585,1
2,Kmeans,0.238361,0
