k,diabetic sse (left)
2,4901.176138726423
3,4062.517643522523
4,3488.701809126254
5,3014.6224760435316
6,2779.093963639041
7,2573.0996508583703
8,2422.95382856996
9,2236.142163054773
10,2106.57447006816
11,2001.7614360748848
12,1909.03351959666
13,1850.026520905144
14,1803.3443769298156
15,1725.6080109405914
16,1668.7229465490864
18,1570.0637512569756
20,1485.7989864996634
22,1395.058195457129
24,1330.7080698844884
26,1282.5181839248835
28,1219.9090709721322
30,1164.2527570666132
32,1124.7087095473253
34,1088.1326183861233
36,1050.2404582341933
40,982.0536733907957
45,896.3156930859961
50,846.6687213718749
55,800.3702237080663
60,745.0333650819854
