k,Kmeans,GMM
2,0.062272638774395254,0.0023695555332516245
3,0.10165071749998576,0.10827458962273613
4,0.10677780048318476,0.09446554137575641
5,0.09696101870710216,0.08706763565889442
6,0.11113361573190397,0.08891777950056291
7,0.11049253638542096,0.09738585544569824
8,0.11112903989764003,0.08594334612072001
9,0.11989328685041056,0.08746680249395271
10,0.11953859446007126,0.07999841399649207
11,0.12275656181284546,0.0841614690699685
12,0.10699398161160523,0.09152537401911164
13,0.10634441075452541,0.08550446820537615
14,0.11146896278494538,0.08657984347616643
15,0.10883878390582798,0.08723356358940368
16,0.11158348233837903,0.0801445142373179
18,0.11493561776865666,0.07857383708236573
20,0.10950172812303402,0.09398957603147083
22,0.09753033574768986,0.09571331158023912
24,0.1031694149403196,0.09167926518172287
26,0.10147285430376589,0.09449239674118617
28,0.10203148683328644,0.09532453033820258
30,0.09651276206518185,0.09840118334108842
32,0.09470551281318255,0.09054707524181344
34,0.09313914408526906,0.08205001253402161
36,0.0889588616674554,0.08201212539084131
40,0.09577815447120222,0.08581194319922178
45,0.09649121618336756,0.09148286282892878
50,0.08322955690459437,0.07715526419476643
55,0.08776127954730366,0.08380671261351055
60,0.0927364140735517,0.08159624804708679
