k,redwine BIC
2,14715.93645476232
3,14457.579110348206
4,14465.188499594573
5,14320.47970321625
6,14218.932041316964
7,14257.10982002689
8,14485.445870430458
9,14482.412925599454
10,14736.040272963408
11,14667.983307488415
12,14780.67739480205
13,15035.16365506316
14,15010.526526360685
15,15136.964824379289
16,15191.794601298036
18,15324.651837325833
20,15570.755463070276
22,15916.766162440077
24,16123.107878354462
26,16349.087706128048
28,16191.601077177787
30,16370.155895726617
32,16694.54059151093
34,16828.642474239066
36,17255.875028167728
40,17687.474046435964
45,18178.331138865953
50,18694.94757043194
55,19061.972466437655
60,19615.363291010442
