k,Kmeans,GMM
2,0.08959557409428635,0.014512261458364793
3,0.11416377873489884,0.13223697677793034
4,0.11902970413423072,0.10869511248047425
5,0.09714664474596148,0.08932644681626191
6,0.1058138543954344,0.08599754570869705
7,0.10390259128704274,0.09188096893638639
8,0.10060804900655973,0.08024230903540014
9,0.10580521936311299,0.08171304232471285
10,0.10426875809191796,0.07462450725764352
11,0.10536941860140926,0.077354685162531
12,0.09381204482285808,0.0838188841627695
13,0.09271682973169378,0.07829530344222496
14,0.09625281410100966,0.07851975507590725
15,0.09434961537985571,0.07937366746911717
16,0.0969815249325166,0.0739605963025023
18,0.09812840115417962,0.07324884714316528
20,0.09514189244191568,0.08387696866910045
22,0.08706485495154782,0.08586107943031468
24,0.0911349076369496,0.0832103935018989
26,0.09014155517609518,0.08575603920950468
28,0.09099552338765884,0.08663045900720512
30,0.08776828440274062,0.0893260488574712
32,0.08699075105648275,0.08452954752293217
34,0.08641781783458152,0.07914129336712884
36,0.08356040655359684,0.07958866595356451
40,0.08946551761326726,0.08310197894398248
45,0.09120872994687003,0.08786733953130572
50,0.08398851273583022,0.08050113748139476
55,0.08817566878014331,0.08598211530411118
60,0.09264553048627547,0.0857800264908015
