k,Kmeans,GMM
2,0.051238622121592386,0.004038254495135924
3,0.0997364803094287,0.09912118462349215
4,0.10810424956015773,0.09502905873744841
5,0.11405709985163928,0.1020465085554858
6,0.13974357774225124,0.11501250598831994
7,0.14532817365526418,0.13162015167094315
8,0.1575185001090239,0.12611314753067893
9,0.17751479923257912,0.13196409338396126
10,0.18485157037653605,0.1294224819136871
11,0.1978478548915533,0.14069736800891713
12,0.178746336935841,0.15287294715746652
13,0.1834467910611654,0.15134533591347188
14,0.1963020120173992,0.15866554169498637
15,0.19582731738329764,0.162635896272326
16,0.20053855612805507,0.15752009788025623
18,0.2226655570400958,0.16158898536519434
20,0.21798638347425184,0.1962542324618784
22,0.20536266527414404,0.20294419177906362
24,0.22157147370064117,0.20443919724955636
26,0.22720326128158894,0.21332458671004137
28,0.23448289783151274,0.22139594682481664
30,0.23043609211420932,0.23133884853112247
32,0.23302968699253104,0.2240467929141737
34,0.23645885426963248,0.21628012396273427
36,0.24004155277941217,0.2206044764847054
40,0.2595546384475499,0.2382923471704699
45,0.27255718832908515,0.2631433583120745
50,0.2612432082514968,0.2440755471162008
55,0.28116578861148933,0.2703249279197649
60,0.29812688831031225,0.27568214480504977
