k,redwine log-likelihood
2,-7.916043025202912
3,-7.636174541523773
4,-7.504229713940562
5,-7.287569543963198
6,-7.094914454341249
7,-6.979970955714413
8,-6.9707884535801465
9,-6.8329246415267635
10,-6.8378084892036135
11,-6.663780038304853
12,-6.590280537789089
13,-6.595642090080597
14,-6.445762602904038
15,-6.37990726852007
16,-6.274225170454313
18,-6.075762911024858
20,-5.940285295486753
22,-5.860373349373207
24,-5.702781212238851
26,-5.556111273023961
28,-5.1961674424165
30,-5.023120968593849
32,-4.93118121180984
34,-4.733411191924513
36,-4.698672691060612
40,-4.394008765200947
45,-3.9861256429679646
50,-3.5925691832132904
55,-3.11581387164534
60,-2.742710355720919
