k,Kmeans,GMM
2,0.5248122759512549,0.4131465052731196
3,0.5801546385367558,0.5471583125026322
4,0.58455943376828,0.5650599156201769
5,0.594984280975397,0.5879262035768523
6,0.6082383048722783,0.6123136075471137
7,0.611161622292525,0.6201520620536057
8,0.6208853687963116,0.6175904432294235
9,0.6276535918404761,0.616834839997919
10,0.6313498542057371,0.6219333037698408
11,0.6341864630584342,0.6262067974562183
12,0.6277105717562944,0.6290112002695398
13,0.632861060668746,0.6327644425506193
14,0.6344119053340633,0.6315703417060777
15,0.6356927147461545,0.6357670363754828
16,0.6333689251358228,0.6338817443781881
18,0.638972775987177,0.6345580712050757
20,0.6393419067461743,0.6365424587081414
22,0.6380586199464389,0.6374045896083498
24,0.6391883087122291,0.6384302280930804
26,0.639894364190848,0.6387597206497693
28,0.6410017564678397,0.6387473337115478
30,0.6398894094155595,0.6393518162967514
32,0.6394583439654553,0.639545052533005
34,0.6399909823089749,0.6396292837129104
36,0.6407143795011037,0.6399265702302236
40,0.6413287716368843,0.6405062789389844
45,0.6425476463578685,0.6420026210761276
50,0.6420818974807445,0.6403031331521537
55,0.6427111539423909,0.6422231085764682
60,0.6427780434087863,0.6422330181270454
