k,Kmeans,GMM
2,0.23179042551597234,0.3500858120405104
3,0.2198274821556328,0.13372951727167046
4,0.22786052509630061,0.13050468184848033
5,0.22317526852072406,0.14840215754580338
6,0.2175282402457413,0.12525564339273726
7,0.21886798920109338,0.12648193760244722
8,0.1878404132575534,0.1129141716669269
9,0.19046227137857707,0.06358685307289912
10,0.18203785547195406,0.09715157730651205
11,0.1715074583241063,0.08205620175469926
12,0.17260568666164083,0.0846214480662188
13,0.18229927436954654,0.047522640026252304
14,0.17792378366157632,0.07784508776238497
15,0.17117695355043103,0.08617454716401035
16,0.17277295915799268,0.08234695610875334
18,0.1622633434046957,0.04773623930789595
20,0.1800415204659516,0.07388836239023139
22,0.16397244130925953,0.08937021358877453
24,0.16808075516464818,0.058421271702248395
26,0.1588240520188588,0.08157193146966737
28,0.15949380099845953,0.07104446640920778
30,0.1663972460057625,0.07417856903862009
32,0.16290005045484357,0.10155273241667562
34,0.1607690415471609,0.08208819211830554
36,0.1534954381379321,0.09320412007910006
40,0.15742391481840673,0.09536612852005863
45,0.1681176268420239,0.09203761787435955
50,0.1672096501342412,0.08555888768526497
55,0.1666272915069756,0.1145907469419715
60,0.1645718183161919,0.10273848103966028
