k,redwine sse (left)
2,4862.3589391032965
3,4210.942651998408
4,3627.485805073563
5,3155.416626257967
6,2914.0380232708208
7,2720.23512336509
8,2535.7058639758206
9,2395.3288928043576
10,2304.5347932111054
11,2211.167970413838
12,2134.0898025444576
13,2030.4898539324938
14,1958.8130810467953
15,1911.2076368147636
16,1886.4224295940767
18,1752.5217221737237
20,1662.9730202394298
22,1608.274708940934
24,1514.063954815309
26,1476.725485203604
28,1413.7025573417206
30,1356.335980266352
32,1324.3517345708633
34,1291.1297025184344
36,1257.279257863032
40,1188.4646495902039
45,1108.5645229322813
50,1032.3184909339186
55,992.7359937412054
60,951.2759760327235
