k,diabetic BIC
2,-42472.24108618328
3,-42151.59376826141
4,-46658.13920216944
5,-54076.02862471521
6,-48758.441506415635
7,-51025.78427071567
8,-53780.36048682782
9,-53537.89923351063
10,-54849.07459536656
11,-54815.95930946093
12,-54147.05442250776
13,-55128.790590828736
14,-54724.11571770282
15,-54713.084189714005
16,-54277.82960496543
18,-53131.24481946604
20,-52110.84323634676
22,-50896.12051694952
24,-49485.841845927236
26,-48676.78224062825
28,-46741.55479420115
30,-45399.71212255249
32,-44270.376645645025
34,-42448.51705837845
36,-41096.38838314428
40,-38930.06287853395
45,-34717.824779940194
50,-31332.853372400437
55,-29111.146334204277
60,-25529.790819914866
