k,Kmeans,GMM
2,0.500098095042133,0.500098095042133
3,0.5000741694221006,0.5000741694221006
4,0.5212435580268062,0.5021317727448907
5,0.501136466951541,0.5066967810470808
6,0.49894966528057577,0.5027012025016628
7,0.49925112809298455,0.5046391777242907
8,0.5019834339006896,0.5024523760533254
9,0.4999784669419708,0.5021891942329686
10,0.5095343595829286,0.5009976983553529
11,0.5028686818418899,0.5005335413267235
12,0.5056153430216144,0.5026389958895785
13,0.5066154339389706,0.5014762107560018
14,0.5050411281408358,0.5035864504428632
15,0.5046152521042583,0.5029404587019872
16,0.5043425000358884,0.5031749297783052
18,0.5043807810279404,0.5045626157401869
20,0.5031127231662208,0.5061847727783866
22,0.5021939793569751,0.5032467066384025
24,0.5041798058196678,0.504093673587551
26,0.5019738636526766,0.504103243835564
28,0.5031701446542988,0.5014714256319952
30,0.5021652686129361,0.5010742603394567
32,0.5020599958847933,0.5014905661280212
34,0.5012465248036903,0.5003086404984185
36,0.50179202894043,0.5001985826462693
40,0.5010646900914437,0.502184409108962
45,0.5006914504189376,0.5006244586828468
50,0.500921136371249,0.5001076652901459
55,0.5009019958752231,0.500772797527048
60,0.5014666405079887,0.501370938027859
