k,Kmeans,GMM
2,0.4905450500556173,0.42825361512791993
3,0.48164627363737483,0.43270300333704115
4,0.48053392658509453,0.4860956618464961
5,0.4760845383759733,0.5205784204671857
6,0.5328142380422692,0.5216907675194661
7,0.5317018909899889,0.557285873192436
8,0.5161290322580645,0.5127919911012235
9,0.5161290322580645,0.5116796440489433
10,0.5283648498331479,0.525027808676307
11,0.5239154616240267,0.5194660734149055
12,0.5216907675194661,0.5105672969966629
13,0.5439377085650723,0.5261401557285873
14,0.5328142380422692,0.5595105672969967
15,0.560622914349277,0.5628476084538376
16,0.5506117908787542,0.525027808676307
18,0.5583982202447163,0.5439377085650723
20,0.5517241379310345,0.5539488320355951
22,0.5617352614015573,0.5550611790878754
24,0.560622914349277,0.5528364849833148
26,0.5728587319243604,0.5706340378197998
28,0.5650723025583982,0.5639599555061179
30,0.5806451612903226,0.5494994438264739
32,0.5728587319243604,0.5650723025583982
34,0.5850945494994438,0.5672969966629589
36,0.5817575083426029,0.5628476084538376
40,0.5806451612903226,0.575083426028921
45,0.5917686318131257,0.5795328142380423
50,0.5951056729699666,0.5839822024471635
55,0.592880978865406,0.5951056729699666
60,0.6062291434927698,0.5906562847608454
