k,type,score,label
2,Kmeans,0.039987,0
2,Kmeans,0.059826,1
2,Kmeans,0.056139,0
2,Kmeans,0.084294,0
2,Kmeans,0.221385,1
2,Kmeans,0.045597,1
2,Kmeans,0.172649,0
2,Kmeans,0.030984,0
2,Kmeans,0.095922,0
2,Kmeans,0.175061,0
2,Kmeans,0.160682,0
2,Kmeans,0.128932,1
2,Kmeans,0.089289,1
2,Kmeans,0.144925,0
2,Kmeans,0.112527,1
2,Kmeans,0.031515,0
2,Kmeans,0.153955,1
2,Kmeans,0.137337,0
2,Kmeans,0.106398,0
2,Kmeans,0.153179,1
2,Kmeans,0.125566,0
2,Kmeans,0.208673,1
2,Kmeans,0.024898,1
2,Kmeans,0.050117,0
2,Kmeans,0.158906,1
2,Kmeans,0.080648,1
2,Kmeans,0.139063,1
2,Kmeans,0.001379,0
2,Kmeans,0.18948,1
2,Kmeans,0.145712,1
2,Kmeans,0.017065,1
2,Kmeans,0.159651,0
2,Kmeans,0.215196,1
2,Kmeans,0.147376,1
2,Kmeans,0.138542,1
2,Kmeans,0.124644,1
2,Kmeans,0.18255,1
2,Kmeans,0.085416,1
2,Kmeans,0.2264,1
2,Kmeans,0.078412,1
2,Kmeans,0.270121,1
2,Kmeans,0.137871,1
2,Kmeans,0.071735,1
2,Kmeans,0.129098,1
2,Kmeans,0.030393,0
2,Kmeans,0.014472,1
2,Kmeans,0.008773,1
2,Kmeans,0.100362,1
2,Kmeans,0.132169,1
2,Kmeans,0.229722,1
2,Kmeans,0.024434,1
2,Kmeans,0.055322,1
2,Kmeans,0.249711,1
2,Kmeans,0.031515,0
2,Kmeans,0.227841,1
2,Kmeans,0.040595,1
2,Kmeans,0.130235,0
2,Kmeans,0.057459,1
2,Kmeans,0.106506,1
2,Kmeans,0.153179,1
2,Kmeans,0.21552,1
2,Kmeans,0.125752,1
2,Kmeans,0.068228,1
2,Kmeans,0.22747,1
2,Kmeans,0.188961,1
2,Kmeans,0.132024,1
2,Kmeans,0.178835,0
2,Kmeans,0.177642,1
2,Kmeans,0.231149,1
2,Kmeans,0.104778,1
2,Kmeans,0.115006,1
2,Kmeans,0.224667,0
2,Kmeans,0.215514,1
2,Kmeans,0.060339,1
2,Kmeans,0.259803,1
2,Kmeans,0.156107,0
2,Kmeans,0.189789,1
2,Kmeans,0.116589,1
2,Kmeans,0.145692,0
2,Kmeans,0.031111,1
2,Kmeans,0.032581,1
2,Kmeans,0.171413,1
2,Kmeans,0.238122,0
2,Kmeans,0.089023,1
2,Kmeans,0.109759,1
2,Kmeans,0.039152,0
2,Kmeans,0.189525,1
2,Kmeans,0.075475,1
2,Kmeans,0.181414,1
2,Kmeans,0.072443,1
2,Kmeans,0.059609,1
2,Kmeans,0.124998,1
2,Kmeans,0.169776,0
2,Kmeans,0.089827,1
2,Kmeans,0.154191,0
2,Kmeans,0.090828,1
2,Kmeans,0.160936,0
