k,redwine sse (left)
2,5.265925961706927
3,4.799439730068187
4,4.350171822320472
5,4.070602436408882
6,3.68720615608445
7,3.4373980238799273
8,3.2262871564179147
9,3.0497535249490784
10,2.9027873321633058
11,2.7775525203796354
12,2.6969738410296067
13,2.588546388695054
14,2.5053398306812253
15,2.408387901270765
16,2.336396683835623
18,2.2269216626187105
20,2.1285071622115064
22,2.0430427948475414
24,1.96792905633691
26,1.891910028418906
28,1.8134571408861335
30,1.7703238496499296
32,1.7301576961382965
34,1.6717848907706045
36,1.6297456614613735
40,1.5193495662127425
45,1.4417331088796024
50,1.3698815327342546
55,1.2889585294981019
60,1.2314894981190405
