k,Kmeans,GMM
2,0.5641421947449768,0.5347758887171561
3,0.5734157650695518,0.6120556414219475
4,0.58887171561051,0.6089644513137558
5,0.5950540958268934,0.5672333848531684
6,0.6043276661514683,0.6259659969088099
7,0.6306027820710973,0.6136012364760433
8,0.616692426584235,0.6275115919629057
9,0.624420401854714,0.6290571870170015
10,0.6228748068006182,0.615146831530139
11,0.6275115919629057,0.6630602782071098
12,0.615146831530139,0.6383307573415765
13,0.6321483771251932,0.6275115919629057
14,0.6383307573415765,0.6630602782071098
15,0.6228748068006182,0.6599690880989181
16,0.6213292117465224,0.6615146831530139
18,0.6398763523956723,0.6321483771251932
20,0.642967542503864,0.6630602782071098
22,0.6553323029366306,0.642967542503864
24,0.6506955177743431,0.6367851622874807
26,0.6537867078825348,0.6321483771251932
28,0.6568778979907264,0.6398763523956723
30,0.6615146831530139,0.6754250386398764
32,0.6615146831530139,0.6599690880989181
34,0.6877897990726429,0.6568778979907264
36,0.6676970633693973,0.6599690880989181
40,0.6506955177743431,0.6584234930448223
45,0.6692426584234931,0.6568778979907264
50,0.6723338485316847,0.6676970633693973
55,0.6800618238021638,0.6769706336939721
60,0.6893353941267388,0.6831530139103554
