k,Kmeans,GMM
2,0.012955485102933638,0.11896062103037598
3,0.0256106459906485,0.04805099207579155
4,0.02422138475064356,0.04722127455777218
5,0.02771612025905829,0.03331499634512927
6,0.03238058702605756,0.06121991462429218
7,0.0367161554210854,0.04553880386571168
8,0.03039887510194207,0.043512158553370164
9,0.03266363073190641,0.0423099445540928
10,0.03271455557960364,0.041336548500671526
11,0.03351916260094201,0.042439946347519915
12,0.03028691422579744,0.04165158402067691
13,0.030492514605641126,0.039675049004198625
14,0.03328646854706732,0.04586965420565341
15,0.03129735177479823,0.04424186061172129
16,0.02965065366766639,0.045112972991713574
18,0.03351039467977215,0.034695281579771406
20,0.028086874105964582,0.041348149820324406
22,0.02950045950429019,0.03518559200552526
24,0.031451697676791346,0.030279079597916737
26,0.02961737896086533,0.029534887593147447
28,0.029074511093203914,0.033090908875625456
30,0.029006281424468046,0.03680480882463543
32,0.030027019242107215,0.03563788719896448
34,0.03392623866473974,0.03627221046496337
36,0.031577646201686994,0.03824603664057826
40,0.031610884927666144,0.036927029348757655
45,0.030545071050532665,0.03725026629650731
50,0.030415951870522887,0.035683597524764514
55,0.03294889127110303,0.03153681838254286
60,0.034370217338676276,0.03486417354842434
