k,Kmeans,GMM
2,0.012935756679819393,0.005083594414729397
3,0.030471551462932775,0.05970760395821537
4,0.03961132876381146,0.06347005188081951
5,0.046220756678786314,0.05924305549875777
6,0.06718096555482982,0.09402388497622671
7,0.08358912839695593,0.09295274338396749
8,0.07652163387272297,0.0961366906022775
9,0.08424449736906811,0.0976863181062655
10,0.0918616033916651,0.09908027582039788
11,0.09601853508649116,0.11548517407749802
12,0.09323450894344969,0.10994966451909377
13,0.097079587582014,0.10583360357742458
14,0.110384432984116,0.13476496675688543
15,0.104051795342294,0.13277211828965635
16,0.10055886823873085,0.1366627686986447
18,0.12105980509630478,0.11118282943166524
20,0.10850009119367564,0.1349804437821295
22,0.11969898466515931,0.1181405022350951
24,0.1304540893971696,0.10866123761104972
26,0.12483423959253744,0.10811876953898253
28,0.12691197278765204,0.12470041600405334
30,0.1324051290342641,0.1465428038175827
32,0.13645987359930653,0.14390007651565043
34,0.15681974529060272,0.15145176731932172
36,0.14926171569090865,0.16128414878107888
40,0.14990051454794479,0.15832799444931206
45,0.15396670535630375,0.16580218034488978
50,0.15483921653475546,0.17095518804881316
55,0.17398233583216802,0.15448737930414794
60,0.18307272969554,0.17479223933282878
