k,diabetic sse (left)
2,8004.55999683391
3,6758.367805199643
4,5970.759307748417
5,5310.310900043726
6,4791.091747626257
7,4418.325024735031
8,4163.225217854405
9,3921.8749985978006
10,3727.183390920176
11,3555.9450216105934
12,3366.403101231995
13,3298.5834750612767
14,3125.679462295836
15,3009.173773088378
16,2909.8059663901713
18,2720.6215727987073
20,2556.474384351908
22,2412.7403068115755
24,2293.0734866409166
26,2191.3829221588776
28,2111.2284049906257
30,2028.7433576536434
32,1938.50202636006
34,1912.4470705181925
36,1812.2580737146209
40,1725.4045702002834
45,1597.1774675654274
50,1501.5357410274632
55,1397.3626262708253
60,1330.7093092280916
