k,Kmeans,GMM
2,0.056516376345543115,0.012049865235953791
3,0.04719672342837826,0.006661230753431145
4,0.09006151573069181,0.056290170443404924
5,0.08714754210365229,0.09040041955746228
6,0.07801471308469206,0.09175563721967543
7,0.085924462387836,0.08755271844352151
8,0.0829189853536363,0.06500774469218454
9,0.08598618420900996,0.0714073396332505
10,0.0885500818062688,0.0912390021512617
11,0.08580081352554593,0.09476395943746052
12,0.08515776954514827,0.08811238619203997
13,0.09337678575412535,0.07547602285572842
14,0.0792166399434163,0.0752533312437842
15,0.08623681676440983,0.08434325706622922
16,0.08941582490583871,0.08654776731395095
18,0.08712283703792172,0.0802130156497693
20,0.08971531081582006,0.08164779582272508
22,0.09194657099382811,0.08900869996833023
24,0.09119479380287816,0.07125576489116589
26,0.0816827272161272,0.08306530977352661
28,0.08576456860505784,0.06967763031140936
30,0.08854022442909774,0.08553050357106975
32,0.08276358836802351,0.08665392905691607
34,0.0837720725211046,0.07331854668034622
36,0.0859754130409817,0.07522124065103988
40,0.07910361111580844,0.08046583547692097
45,0.08147140950658287,0.08194623949809463
50,0.0810166557403235,0.07536471926821593
55,0.08074543765318021,0.08031434007080576
60,0.07527944513803603,0.07395903004626952
