k,Kmeans,GMM
2,0.08269745497896666,0.02695378718119977
3,0.05523893762720685,0.016577647666255906
4,0.090646263486002,0.06474631568827503
5,0.0877127016065513,0.09447595229942542
6,0.07860620168758208,0.08811725625286498
7,0.0830811447232765,0.08393017324711008
8,0.07755298495443495,0.06257301683723199
9,0.07940712959535853,0.07125769057096856
10,0.08018777649849772,0.08317025315373057
11,0.07820181370347946,0.08559521216105362
12,0.07732662394627277,0.08092452159065021
13,0.08348131087643577,0.07218262179109469
14,0.07277789275999107,0.07073531580880936
15,0.07785735952158916,0.07689446244117451
16,0.0798791165977846,0.07889505031516125
18,0.07867043962238793,0.07472312389858576
20,0.08134954395902019,0.0757482686188431
22,0.08296194703427437,0.0808816433000206
24,0.08276819727106571,0.0696502605820583
26,0.07684570677991327,0.07810748235206173
28,0.07987860039112067,0.0695194130955682
30,0.08221130206242779,0.08101231411166845
32,0.07869129705806609,0.08192814334779952
34,0.08062550859154423,0.07343442611228516
36,0.08247334738780934,0.07542501427214414
40,0.07850504520506078,0.07972354566746158
45,0.08157187861191853,0.08213690837472933
50,0.08270960763334691,0.07954986522420654
55,0.08398469089547599,0.08367688058738888
60,0.08197103647997231,0.08095590709356001
