k,redwine log-likelihood
2,-10.706624745282065
3,-10.379268490902646
4,-10.074134118549154
5,-9.642662501097151
6,-9.606855926798895
7,-9.415648732060896
8,-9.382341351688776
9,-9.153416081736093
10,-9.051402233347618
11,-8.947681317491691
12,-8.722790019378111
13,-8.71313089635188
14,-8.647481346655697
15,-8.35376763211327
16,-8.241303178630902
18,-7.963144448613251
20,-7.75103390288944
22,-7.753727041596392
24,-7.309655752364592
26,-7.118163739124143
28,-7.040987147423565
30,-6.493637391859581
32,-6.213195528999245
34,-6.064143164341219
36,-5.7240180538135546
40,-5.021971421205321
45,-4.442555215095839
50,-3.508263118146633
55,-2.9854459140730545
60,-2.2142133752997823
