k,redwine sse (left)
2,7620.847298034175
3,6649.564652339821
4,6068.965476058869
5,5441.311561543262
6,5021.867292928518
7,4665.71020597803
8,4467.909355525457
9,4288.364430129166
10,4117.518752565459
11,3993.485934577006
12,3846.833100604233
13,3752.0364332929776
14,3690.6677501296263
15,3522.775893292533
16,3443.4143518846786
18,3250.713468393774
20,3126.6031714741603
22,2991.624123915254
24,2859.733780804592
26,2732.780678431095
28,2665.032106703214
30,2549.834902075275
32,2481.2891741346357
34,2407.330142131641
36,2367.993595200872
40,2186.752437547086
45,2073.981331919532
50,1950.6281344807867
55,1867.3886029677483
60,1769.2786930566513
