k,Kmeans,GMM
2,0.03479499886824495,0.07569510509643569
3,0.04634003891512582,0.061725499712409794
4,0.04755266262161687,0.07102957930071725
5,0.05180056423490643,0.06578581561467581
6,0.044989406678263504,0.06300132205077301
7,0.034977996976635416,0.06165390173752737
8,0.04109130785938265,0.06509951596625946
9,0.04546391134071164,0.05416183673270631
10,0.03389711685851127,0.04944214960098348
11,0.040029472889525096,0.060251558042185446
12,0.03596817106336321,0.05340315895432408
13,0.03816303133246104,0.05394327211716695
14,0.03964325749723463,0.06479939704365754
15,0.030280333197702167,0.06095792981815188
16,0.03469655309713054,0.06043008062961377
18,0.037971788278629195,0.06283518271582657
20,0.03322025420074864,0.05255424956047602
22,0.03274907211387261,0.05437683623831093
24,0.04054084023885371,0.056808372268962105
26,0.03368597918832832,0.043759807551072095
28,0.03151593827135754,0.04382555007064669
30,0.038758446950214256,0.04359576933846454
32,0.038043938527337465,0.05178027233890138
34,0.03648926603101089,0.046733483015922984
36,0.03412594897082026,0.044750365531010396
40,0.035450150477871784,0.037628581781547814
45,0.03017670628376089,0.041233543712806554
50,0.028588149523503567,0.030107317623712073
55,0.033692729561841925,0.02838992234667274
60,0.025753078436289423,0.021455262855876372
