k,diabetic sse (left)
2,5955.287601025968
3,4836.247299681277
4,4020.217401553453
5,3299.7708599459847
6,2914.692857765886
7,2658.244624232435
8,2488.204358893996
9,2235.5504153018346
10,2137.4185638548634
11,1951.635411381027
12,1853.574807710565
13,1735.2216637748413
14,1666.9623793906503
15,1586.3323993758872
16,1488.55405400734
18,1385.376282559515
20,1295.6389744778346
22,1204.8853686864743
24,1142.571816852831
26,1060.4698464351345
28,1027.863041122361
30,957.0170632676729
32,901.5304214593775
34,872.6582988548524
36,823.9462098773458
40,739.681566331519
45,691.7334163616679
50,629.7540488883187
55,575.6940882272138
60,542.2897715935296
