k,Kmeans,GMM
2,0.5394883203559511,0.42602892102335926
3,0.5394883203559511,0.4994438264738598
4,0.5261401557285873,0.5617352614015573
5,0.5328142380422692,0.5517241379310345
6,0.5394883203559511,0.5361512791991101
7,0.5350389321468298,0.5283648498331479
8,0.5439377085650723,0.5383759733036707
9,0.5450500556173526,0.525027808676307
10,0.5317018909899889,0.5417130144605117
11,0.5283648498331479,0.5272525027808677
12,0.525027808676307,0.542825361512792
13,0.560622914349277,0.5317018909899889
14,0.557285873192436,0.5372636262513905
15,0.5506117908787542,0.5661846496106785
16,0.5361512791991101,0.5550611790878754
18,0.542825361512792,0.5539488320355951
20,0.5483870967741935,0.560622914349277
22,0.557285873192436,0.5550611790878754
24,0.5550611790878754,0.5639599555061179
26,0.5494994438264739,0.5583982202447163
28,0.5583982202447163,0.560622914349277
30,0.5672969966629589,0.5717463848720801
32,0.5695216907675195,0.5672969966629589
34,0.5706340378197998,0.5650723025583982
36,0.5728587319243604,0.5828698553948832
40,0.5773081201334817,0.5884315906562848
45,0.575083426028921,0.5884315906562848
50,0.5806451612903226,0.5939933259176863
55,0.5917686318131257,0.5828698553948832
60,0.6006674082313682,0.5917686318131257
