k,Kmeans,GMM
2,0.07422937563090165,0.006212359626311637
3,0.09349895104667748,0.03792210185685325
4,0.09247541513228034,0.09323715551059258
5,0.0819438751497387,0.0941064437469553
6,0.08626189520471737,0.08686446862747142
7,0.08586330590872437,0.07686737699481767
8,0.09669293779961882,0.08430857731449606
9,0.08446492657079278,0.07071664523869159
10,0.07429875514388828,0.08393554633222894
11,0.07599195678972888,0.08093711288216714
12,0.07774360729723905,0.08637683803921598
13,0.08205910246342633,0.0762240448212773
14,0.08613332318716699,0.08096906913935892
15,0.08268202585643061,0.09301788766634712
16,0.07412629299960094,0.0906061433940418
18,0.07830302600928159,0.08050189161023333
20,0.07631634492821014,0.08455871625916717
22,0.0726386360541836,0.08024130086842692
24,0.07273678259709263,0.07863707791744778
26,0.07445082511740551,0.07246788063422899
28,0.07718813633130799,0.07619864552343614
30,0.07117072299467359,0.07838087615232346
32,0.07947892787877504,0.07028095919181494
34,0.08640694773256417,0.0771680678847583
36,0.08340113956466803,0.08462697903619806
40,0.07851980226741369,0.09445609757533474
45,0.07562675039730224,0.08709906132296859
50,0.07587601242266545,0.08820902389113819
55,0.07512835085008919,0.07541734669988787
60,0.08110416304399809,0.07969815146857184
