k,redwine BIC
2,12771.506042937403
3,11693.26821892855
4,11372.79488420913
5,11434.444714467041
6,11483.975865750712
7,11471.10091396592
8,11742.742471024827
9,11883.544229402878
10,12135.494989219254
11,12173.20065863185
12,12469.524505480136
13,12671.993993513224
14,12847.326004558432
15,13081.05002144361
16,13183.250744263478
18,13772.964215238426
20,14027.418582427075
22,14038.582225393679
24,14160.146811055505
26,14688.421156250975
28,15024.551416320435
30,15670.985635614852
32,15927.230023566164
34,16459.38952362456
36,16748.313247758822
40,17656.288312417797
45,18189.92101453367
50,18546.022479744694
55,18868.19347549643
60,20006.789570501864
