k,Kmeans,GMM
2,0.10474616301947959,0.02235507982912509
3,0.10244884576794473,0.049100194765519016
4,0.09290370484702253,0.10003590359944789
5,0.07965046538538456,0.09224764868478069
6,0.08020544255956695,0.08418617373323058
7,0.080095278528247,0.0733273703375391
8,0.08856481211058222,0.07823531663818989
9,0.0776570081758956,0.06801270962072553
10,0.06906870705352869,0.07821318388978032
11,0.07049341269698015,0.07486010639660755
12,0.0709304103334477,0.07938584226548717
13,0.0742305038771161,0.0714674333915308
14,0.07737757031103062,0.07524864625354913
15,0.07517982527355682,0.0836412977155629
16,0.06873957916857695,0.08217058379742694
18,0.07212773375000975,0.07493891348175713
20,0.07118457888035662,0.07779873544997856
22,0.0691915953632568,0.07558188013995794
24,0.06967505012798075,0.07465063833054232
26,0.07134284867308752,0.07070835613341367
28,0.07413434017165609,0.07413119330048834
30,0.07053693226086732,0.07601770673342836
32,0.07649914268183164,0.07129213553386007
34,0.08170930956146381,0.07588944033844004
36,0.08043513450263484,0.0811520166240557
40,0.07837409881875838,0.08881805734041373
45,0.07801651805114061,0.08523604423427893
50,0.0795288465954079,0.08728115836323533
55,0.08017449590406413,0.08070962470340057
60,0.08555630216905934,0.08474799329280525
