k,Kmeans,GMM
2,0.0609843523920569,0.00653310721897179
3,0.09431351517240537,0.03877637715302721
4,0.10578902715219261,0.10011595889463758
5,0.10366789092834731,0.11465777866515525
6,0.1185663191408554,0.11327200829440123
7,0.1215447657629348,0.10990061521154447
8,0.14023816032518652,0.12614431722878366
9,0.1317047831196227,0.11102012865796607
10,0.12431517381899339,0.1333229661576403
11,0.13096287940689455,0.13606983159576805
12,0.1404818429350537,0.14668545626572316
13,0.1507713426493696,0.13758020837096768
14,0.16100891620215416,0.14780962611937998
15,0.15863498386590702,0.17177939185992022
16,0.1521024220332207,0.17159047455864246
18,0.16567284663386828,0.16471312235414498
20,0.1694750757841434,0.1795929794432006
22,0.16963205290608413,0.17747292989493427
24,0.1771145555071513,0.18115802966026134
26,0.18589697804012517,0.17840032019305344
28,0.19385004088344096,0.18917639215500368
30,0.190673385841515,0.19945823621051179
32,0.21001315749883395,0.1895908996600775
34,0.22800675896705278,0.21003632880586118
36,0.22568752415827484,0.230026242370293
40,0.22744747616398192,0.254974314431554
45,0.23295243359054657,0.25498212265873693
50,0.24491184230200796,0.2688734488155109
55,0.2538022111033861,0.25503006289835145
60,0.2779586557654408,0.27256599387152014
