k,type,score,label
2,Kmeans,0.340372,1
2,Kmeans,0.169322,0
2,Kmeans,0.203031,1
2,Kmeans,0.356487,0
2,Kmeans,0.087775,0
2,Kmeans,-0.001723,0
2,Kmeans,0.385231,1
2,Kmeans,0.009789,0
2,Kmeans,0.399035,1
2,Kmeans,0.26567,1
2,Kmeans,0.283249,0
2,Kmeans,0.349379,1
2,Kmeans,0.240341,0
2,Kmeans,0.160819,0
2,Kmeans,0.182861,0
2,Kmeans,0.243349,0
2,Kmeans,0.368831,0
2,Kmeans,-0.011354,0
2,Kmeans,-0.025198,0
2,Kmeans,0.264135,1
2,Kmeans,0.376518,1
2,Kmeans,0.086511,1
2,Kmeans,0.075847,1
2,Kmeans,0.236851,1
2,Kmeans,0.172343,1
2,Kmeans,0.423781,1
2,Kmeans,0.177872,1
2,Kmeans,0.211356,1
2,Kmeans,0.391363,0
2,Kmeans,0.180642,0
2,Kmeans,0.138404,0
2,Kmeans,0.198251,0
2,Kmeans,0.198816,0
2,Kmeans,-0.023945,0
2,Kmeans,0.164426,1
2,Kmeans,0.392071,0
2,Kmeans,0.349415,0
2,Kmeans,0.138181,1
2,Kmeans,0.129083,0
2,Kmeans,0.18796,1
2,Kmeans,0.254292,0
2,Kmeans,0.159161,0
2,Kmeans,0.030175,0
2,Kmeans,0.28202,0
2,Kmeans,0.316355,0
2,Kmeans,0.139436,1
2,Kmeans,0.016542,1
2,Kmeans,0.38066,0
2,Kmeans,0.364362,1
2,Kmeans,0.326875,0
2,Kmeans,0.113441,1
2,Kmeans,0.215705,1
2,Kmeans,0.074195,0
2,Kmeans,0.243349,0
2,Kmeans,0.378863,0
2,Kmeans,0.442276,1
2,Kmeans,0.213646,1
2,Kmeans,0.411271,1
2,Kmeans,0.111866,0
2,Kmeans,0.264135,1
2,Kmeans,0.249704,0
2,Kmeans,0.131377,0
2,Kmeans,0.256327,0
2,Kmeans,0.095396,0
2,Kmeans,0.272371,0
2,Kmeans,0.165362,0
2,Kmeans,0.347866,1
2,Kmeans,0.115184,0
2,Kmeans,0.048181,0
2,Kmeans,0.300602,1
2,Kmeans,0.268637,0
2,Kmeans,0.302475,1
2,Kmeans,0.225545,1
2,Kmeans,0.138375,0
2,Kmeans,0.23921,0
2,Kmeans,0.413044,1
2,Kmeans,0.050826,1
2,Kmeans,0.379968,1
2,Kmeans,0.429601,1
2,Kmeans,0.067438,0
2,Kmeans,0.153869,1
2,Kmeans,0.323907,0
2,Kmeans,0.355589,1
2,Kmeans,0.264151,0
2,Kmeans,-0.019665,0
2,Kmeans,0.267775,0
2,Kmeans,0.226204,1
2,Kmeans,0.282195,0
2,Kmeans,0.254506,0
2,Kmeans,0.036342,0
2,Kmeans,0.223432,0
2,Kmeans,0.350722,0
2,Kmeans,0.250744,0
2,Kmeans,0.07221,1
2,Kmeans,0.437424,1
2,Kmeans,0.400932,1
2,Kmeans,0.170182,1
2,Kmeans,0.259309,0
2,Kmeans,0.371404,1
2,Kmeans,0.378863,0
2,Kmeans,0.213556,0
2,Kmeans,0.220164,0
2,Kmeans,0.164886,0
2,Kmeans,0.367229,0
2,Kmeans,0.385212,0
2,Kmeans,0.236767,0
2,Kmeans,0.129083,0
2,Kmeans,0.248761,1
2,Kmeans,0.432143,1
2,Kmeans,0.053806,0
2,Kmeans,0.099521,0
2,Kmeans,0.318436,1
2,Kmeans,0.158443,0
2,Kmeans,0.302761,1
2,Kmeans,0.084214,1
2,Kmeans,0.061666,1
2,Kmeans,0.344516,1
2,Kmeans,0.100364,0
2,Kmeans,0.240776,1
2,Kmeans,0.073505,0
2,Kmeans,0.381911,1
2,Kmeans,0.235229,0
2,Kmeans,-0.041472,0
2,Kmeans,0.012156,0
2,Kmeans,0.162629,1
2,Kmeans,0.2364,0
2,Kmeans,0.214717,0
2,Kmeans,0.258525,1
2,Kmeans,0.23609,0
2,Kmeans,0.377989,1
2,Kmeans,0.042573,1
