k,Kmeans,GMM
2,0.22311761282064996,0.21135009846478758
3,0.20117399827807325,0.09809905721268718
4,0.21075762359855757,0.06350136204817672
5,0.2114045978939802,0.09815419907092177
6,0.18853900920930286,0.08990821520487398
7,0.19661628205979637,0.07253648963441893
8,0.2062623201911586,0.07680831656747794
9,0.20400622861088824,0.0804460568757502
10,0.18710925316881935,0.10265348743471217
11,0.1906568709368123,0.05739562974617219
12,0.1825318549870337,0.058551715429175824
13,0.17655663779596095,0.02480872802991953
14,0.17821485085373903,0.05616401372645093
15,0.18090464853461183,0.025601296951612222
16,0.1721056344543531,0.012187134522450082
18,0.1670214970805978,0.03203039181982546
20,0.1695585996383962,0.04994407611603804
22,0.16833343810439855,0.04244884314698341
24,0.16667018240585552,0.04075699683759126
26,0.16638586084397772,0.05834472187384963
28,0.17436307154895075,0.026815123711419177
30,0.16751420119315408,0.03788472600054295
32,0.1758876667624717,0.05905614885995933
34,0.17231339118191857,0.07458421717493036
36,0.17327590595832582,0.07732681447794951
40,0.17292728945787303,0.08487093802048123
45,0.17101439831516232,0.09915453713431423
50,0.18012800012753483,0.1112221091526581
55,0.17931100315794496,0.11016145531106243
60,0.1805598936654661,0.11982945674384793
