k,Kmeans,GMM
2,0.00655520641465412,0.11934969652582182
3,0.01698608288749414,0.018548678404988007
4,0.01654814751954278,0.0313598440535801
5,0.024450274192479617,0.043362636185603584
6,0.027155262237277416,0.04459733678121855
7,0.03163430196069729,0.03660182598898216
8,0.032327642233909236,0.04047362918553479
9,0.031355814081179226,0.04884802716629272
10,0.029385570018889886,0.03497871813459526
11,0.02745330302748186,0.036275259936157114
12,0.02673340514986154,0.04290349125721199
13,0.026700907946260097,0.04209132592762163
14,0.025358878429121344,0.03603037413505029
15,0.026285725860853565,0.03149428094113165
16,0.025104225239871544,0.03034399423473338
18,0.022941474484999825,0.03393858473514801
20,0.02247256772125463,0.03166881853545651
22,0.02527206589770969,0.03328152097911365
24,0.025136438710634704,0.03431713446085002
26,0.025694204352373913,0.02938181243200965
28,0.025310150446839708,0.02771031062561425
30,0.02575355166315259,0.027653228354203016
32,0.02745409239861543,0.033497874570608516
34,0.0253974382093282,0.030147308881549584
36,0.029068260117787927,0.03228923599111303
40,0.026614565921660813,0.029970392746645588
45,0.027536428554550876,0.03623832795508264
50,0.030260231063464912,0.035067373295159784
55,0.029020363071358805,0.03078542718129616
60,0.031085117800507853,0.03173514532761506
