k,Kmeans,GMM
2,0.006510566292686882,0.01178723368983138
3,0.018332097516739303,0.008716057017519313
4,0.02570452538007611,0.0502102860200561
5,0.04059900509563604,0.0793056085914123
6,0.05314387608267028,0.07618527733799639
7,0.06650432848752455,0.07668965544102059
8,0.07378032983762453,0.08866032927826133
9,0.07549654275639242,0.11054495413376988
10,0.0782247880594026,0.09129138418718574
11,0.07820497289791462,0.09598240136677538
12,0.08220057872111172,0.11959963948704742
13,0.07987945683907931,0.12051278377053912
14,0.08143431455972756,0.09874658064602086
15,0.08854365241043174,0.09696357805396835
16,0.08924688397269485,0.0998838160779107
18,0.08544338458359911,0.1133583318336341
20,0.08493835512116282,0.10275365349455816
22,0.09823859238338134,0.11731074448981019
24,0.10090899050455374,0.1239830263361671
26,0.10816549083588306,0.1097433102968542
28,0.10824613927094434,0.1069180244668203
30,0.11382968817907492,0.1069180244668203
32,0.12197561444926139,0.1344897008217064
34,0.11678370696431581,0.11449741569501456
36,0.13550709701141025,0.12649916617992465
40,0.1266841850055484,0.11923452381149359
45,0.13841487385711349,0.1600407825122658
50,0.15510471337692727,0.16442554372080612
55,0.15085525889590284,0.1528810491459278
60,0.16577486913480707,0.1615149229254944
