k,Kmeans,GMM
2,0.2901559433674382,0.6953359572959277
3,0.3027395759236134,0.3020452123368706
4,0.28019395843948464,0.08391175824825343
5,0.27440141260903733,0.04633744075153115
6,0.22446207181989514,0.05500894004875588
7,0.22112166026548966,0.04321638210840734
8,0.2469266415975834,0.04803669594273664
9,0.24075019725723668,0.04615628709892965
10,0.21722163423594162,0.048533693306954014
11,0.2074653425725266,0.048015580577913296
12,0.17953397751652928,0.021565662935970013
13,0.22145484833746826,0.023540531878049557
14,0.19792554133239,0.004637481018767618
15,0.18733953271964768,0.004518780257912112
16,0.18373082898726995,0.03311609193596483
18,0.17709578215312208,0.035162603099791793
20,0.18297713702933885,-0.052556807958428396
22,0.17528480295587984,0.008632438946062486
24,0.1854167889811629,0.02026489428688628
26,0.1796997590272972,0.008479017023609342
28,0.18190895770716337,-0.019762314508798912
30,0.18344105374228672,-0.020771949242177252
32,0.18183953169297631,-0.0016033032501003234
34,0.19154178993886783,-0.028877278922416275
36,0.183716230053639,-0.019154527304643742
40,0.17876647956175876,-0.035147583610623104
45,0.16778145866280456,-0.012734349142407064
50,0.16916066665277574,0.0038293422144257817
55,0.16815256975672405,0.03360473036816973
60,0.1716416103993975,0.04221677187449222
