k,diabetic sse (left)
2,12394.959494314753
3,10020.460331375078
4,8798.857005632988
5,8076.115627893607
6,7198.875799840748
7,6515.954686045532
8,5911.936122989362
9,5539.363819800348
10,5270.17945666522
11,5011.964436969334
12,4812.799310268986
13,4562.53322750882
14,4458.176275158585
15,4315.778885682321
16,4097.463620370612
18,3850.4209300318325
20,3619.538039622615
22,3423.3529122682344
24,3286.473557644639
26,3146.8238521288104
28,3044.267732127034
30,2930.8257994260603
32,2811.684194501651
34,2701.3419938752413
36,2623.8397935121575
40,2473.1223159830042
45,2282.1637980890773
50,2204.4454599760593
55,2076.9245122899465
60,1941.3347871857143
