k,Kmeans,GMM
2,0.5158221723445108,0.45967076069234103
3,0.5590802574766673,0.49818922557891177
4,0.563505202582564,0.5725959724366856
5,0.6017688641480589,0.576731305024638
6,0.6032754061885183,0.6031612320227903
7,0.6160406348640561,0.6148821847922796
8,0.618551074142197,0.6109195058207939
9,0.6170723794592322,0.6135093100677944
10,0.6263873205411855,0.6211729028503162
11,0.6274009643539901,0.6134313374668094
12,0.6275374164057137,0.6192890291158046
13,0.6307468243569697,0.6208331650888818
14,0.6330957489616417,0.6293419251713657
15,0.6322867832264227,0.6272686894058905
16,0.6338893986502386,0.6318454026101328
18,0.6339367391579794,0.6283853684414251
20,0.6343182479556558,0.6333101736143503
22,0.6363149034880208,0.6356897303122664
24,0.6369247606171531,0.6361213643534331
26,0.6373884191194387,0.6380414396526878
28,0.6375889200934001,0.6376961324197543
30,0.6384828202689776,0.6374580375131753
32,0.6387236999113062,0.6385231989373449
34,0.6407008622934248,0.6386011715383298
36,0.6402177106408931,0.639372543340931
40,0.6404864376407162,0.6401313838326597
45,0.6402706206201328,0.6406925080861764
50,0.6406646607286818,0.6416546342876158
55,0.6410127526973647,0.6427601743801526
60,0.6409417419357534,0.6429620677219887
