k,Kmeans,GMM
2,0.20528563712407458,0.23124286937861713
3,0.1886072289078781,0.1694413707543062
4,0.2037659657400804,0.03944106782311941
5,0.18723328800278402,0.030483464074684684
6,0.19320976155006053,0.04472976405542767
7,0.18892341925945658,0.08713970483970632
8,0.18770019838399735,0.08119004664820463
9,0.1802173043309245,0.07297248549521701
10,0.14538998918945212,0.0781514433726794
11,0.14775742135542203,0.04064429037484088
12,0.13748976194260704,0.08115396747804825
13,0.13235282952788008,0.04646541716207206
14,0.13446924529226378,0.07611879349558238
15,0.14646549913810022,0.0875314706681223
16,0.13331220172709907,0.07001486570013996
18,0.13227074205143088,0.057113730495474746
20,0.14209320257071906,0.06597750590088995
22,0.15156418644627925,0.06443822513367112
24,0.15537277963640736,0.08260147449229868
26,0.15452153388346468,0.07722094986953514
28,0.14952814320549365,0.07032897426208445
30,0.14984906989311822,0.07516700272655857
32,0.14425151060954747,0.08296287558935493
34,0.14345051747622997,0.09741534559372221
36,0.1408765301298251,0.10068411884743114
40,0.13634971949506106,0.09232946318265976
45,0.15140957723495463,0.10810425127971592
50,0.14484841212890376,0.10999621860930762
55,0.14714191810433186,0.10951768387904848
60,0.14760372637466945,0.11189049804787515
