k,redwine sse (left)
2,10769.351415975645
3,9470.781984863272
4,8487.70192311193
5,7679.19827512292
6,7061.732751264138
7,6530.778741227482
8,6283.327885515705
9,6028.834236113923
10,5817.938320947296
11,5621.088439877951
12,5472.075253229881
13,5290.8735142348
14,5197.024756166133
15,5051.923408757285
16,4945.3317479808775
18,4716.094464224754
20,4505.012354333057
22,4311.200825799881
24,4190.464331640233
26,4011.985177098446
28,3883.5824308619285
30,3773.438009110153
32,3684.8684977717003
34,3604.803514966819
36,3471.991493463443
40,3340.3626008423144
45,3160.7641388315024
50,3036.49305768444
55,2866.9866288913126
60,2760.315263179964
