,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
23,2.745239051,0.311229573,0.003939565,0.001275212,0.0001,"(30,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30,), 'NN__learning_rate_init': 0.001}",0.710866774,0.739658395,0.740127874,0.739971595,0.663326137,0.728487114,0.68702623,0.756201685,0.680996131,0.699012649,0.722153875,0.69302712,0.705202312,0.711214491,0.722710674,0.713332204,0.024881334,1,0.757851544,0.76382617,0.778240843,0.756374444,0.782678102,0.750158789,0.778374988,0.769399187,0.785604566,0.759460715,0.765351543,0.769499875,0.778315362,0.770764341,0.76827183,0.76894482,0.00998876,,0.055612616
147,3.760324844,0.422222206,0.003685141,5.74E-05,0.0001,"(5, 5, 5, 5)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5, 5, 5), 'NN__learning_rate_init': 0.001}",0.716763006,0.739779596,0.669631936,0.739779596,0.681804704,0.716857959,0.71107923,0.687965568,0.68811165,0.696270744,0.75737184,0.682080925,0.728578001,0.751644829,0.728323699,0.713069552,0.026761506,2,0.755003012,0.755291236,0.759630799,0.753809541,0.766881,0.753826379,0.774099501,0.74643914,0.774110697,0.765434592,0.750942563,0.763985112,0.755266479,0.763915507,0.745008974,0.758909635,0.00866008,,0.045840083
6,0.664228503,0.096426769,0.003580666,3.14E-05,0.0001,"(10,)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (10,), 'NN__learning_rate_init': 0.01}",0.699723508,0.757306553,0.711253492,0.745442538,0.670060431,0.711214491,0.699301445,0.709239724,0.652692343,0.691484816,0.745919892,0.699663071,0.711272604,0.733730797,0.751677746,0.712665563,0.028904716,3,0.760992634,0.774122163,0.777793448,0.752301457,0.780471475,0.745168851,0.785694764,0.767589571,0.788277791,0.753809838,0.75522528,0.774042226,0.784212676,0.772121936,0.765173995,0.769133207,0.012909502,,0.056467644
146,0.66020503,0.10048271,0.003707075,0.00011134,0.0001,"(5, 5, 5, 5)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5, 5, 5), 'NN__learning_rate_init': 0.01}",0.728087657,0.703405313,0.704407522,0.734104046,0.66505405,0.699723508,0.698154468,0.74014544,0.659278768,0.693375442,0.740040854,0.69302712,0.716763006,0.733871745,0.751677746,0.710741112,0.026509983,4,0.769585062,0.748017128,0.761924853,0.767429479,0.770821093,0.769708991,0.78129596,0.772483363,0.779910272,0.757292804,0.758193335,0.770972168,0.756521739,0.759618699,0.749372792,0.764876516,0.009698636,,0.054135404
98,0.804752223,0.170796267,0.004045582,0.001149988,0.0001,"(5, 5, 5)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5, 5), 'NN__learning_rate_init': 0.01}",0.734192891,0.745919892,0.699723508,0.739971595,0.674348491,0.705478257,0.698154468,0.699723508,0.659301799,0.671625992,0.769002793,0.68702623,0.699663071,0.734353212,0.722803352,0.709419271,0.029807863,5,0.763969378,0.735633137,0.773825664,0.756722291,0.769585062,0.76108331,0.769544405,0.775502476,0.76541102,0.763478769,0.765323917,0.778347036,0.77267285,0.778464625,0.75668574,0.765749979,0.010516002,,0.056330708
35,2.780097946,0.417524346,0.003597164,5.17E-05,0.0001,"(45,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45,), 'NN__learning_rate_init': 0.001}",0.716933374,0.768971593,0.710730157,0.727591246,0.663842987,0.716933374,0.664605458,0.732982798,0.670233966,0.703295191,0.739884393,0.687965568,0.687736116,0.728578001,0.705498165,0.708385493,0.028786565,6,0.759023961,0.775477929,0.774015624,0.768306944,0.790033919,0.762059189,0.778436516,0.765256843,0.78124446,0.766786752,0.766812249,0.775502476,0.792834158,0.760697269,0.76945147,0.772395984,0.009753259,,0.064010491
51,2.8735219,0.324335433,0.003624932,6.62E-05,0.0001,"(5, 5)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5), 'NN__learning_rate_init': 0.001}",0.722765911,0.739779596,0.687230773,0.71699062,0.69302712,0.687965568,0.675846187,0.716194884,0.664605458,0.700910444,0.774566474,0.699301445,0.705439216,0.710730157,0.722803352,0.707877147,0.025999729,7,0.744828954,0.732894029,0.749499471,0.760510315,0.755132655,0.753527967,0.791462199,0.750238496,0.753851075,0.746558512,0.736276206,0.755247934,0.753763965,0.755266753,0.748016824,0.75247169,0.012608968,,0.044594543
39,2.78886296,0.362831299,0.003729645,0.000351438,0.0001,"(50,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'NN__learning_rate_init': 0.001}",0.716516919,0.774370609,0.705301141,0.734104046,0.674348491,0.717028129,0.681804704,0.721801093,0.64709249,0.692572113,0.745562761,0.693825894,0.71107923,0.693375442,0.705498165,0.707618749,0.029488918,8,0.760890158,0.760638984,0.770925993,0.759274749,0.782477182,0.769654763,0.772483363,0.773985227,0.78693728,0.765394974,0.770875966,0.766724009,0.778101104,0.765126651,0.774084049,0.770504963,0.007686195,,0.062886215
99,4.84182078,0.616511946,0.003769668,0.00042369,0.0001,"(5, 5, 5)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5, 5), 'NN__learning_rate_init': 0.001}",0.738996834,0.75737184,0.693744323,0.745919892,0.693375442,0.698154468,0.698617851,0.71107923,0.646195709,0.72353346,0.715796553,0.664605458,0.699522399,0.716933374,0.705478257,0.707288339,0.027812721,9,0.767061924,0.750678562,0.772443218,0.747410658,0.775449612,0.73244505,0.768026322,0.760576668,0.775570588,0.76370113,0.744648886,0.772483363,0.760751526,0.747995616,0.755266479,0.759633973,0.012451251,,0.052345634
11,2.832418267,0.352505602,0.003602537,0.000130623,0.0001,"(15,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (15,), 'NN__learning_rate_init': 0.001}",0.693375442,0.745562761,0.705498165,0.745818118,0.66939599,0.70494618,0.682080925,0.714768981,0.69302712,0.688239859,0.726411063,0.699301445,0.692596272,0.722765911,0.722765911,0.70710361,0.021554721,10,0.757902385,0.7491516,0.762514617,0.75760741,0.784038468,0.751995352,0.756374444,0.760510315,0.781272047,0.752195255,0.756317151,0.769683811,0.735797355,0.747614192,0.769776888,0.759516753,0.012224231,,0.052413143
