,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score,,
115,1.175175015,0.258345784,0.005150175,6.70E-05,0.0001,"(25, 25, 25)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25, 25), 'NN__learning_rate_init': 0.001}",0.63583815,0.608600238,0.604298466,0.60099538,0.536923124,0.627826847,0.572680451,0.530284642,0.613079279,0.627326605,0.663016415,0.545568117,0.635107708,0.652478637,0.652251366,0.607085028,0.041273824,1,0.630657841,0.571911993,0.58250772,0.606011721,0.624367228,0.618178504,0.572092856,0.624429551,0.601336263,0.64103823,0.634336678,0.575538263,0.604002944,0.640796618,0.601169219,0.608558375,0.023688486,,0.001473347
142,0.707159217,0.136291835,0.00558726,0.000142794,0.0001,"(60, 60, 60)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (60, 60, 60), 'NN__learning_rate_init': 0.01}",0.607251708,0.609614486,0.604298466,0.584066012,0.564267528,0.627826847,0.565343477,0.537140498,0.624579393,0.627326605,0.657508056,0.545568117,0.640659745,0.646900769,0.652692343,0.60633627,0.037655439,2,0.630924496,0.545018079,0.580480767,0.604331145,0.624073767,0.619528496,0.572092856,0.624429551,0.604381898,0.64103823,0.632540904,0.573201394,0.606475163,0.639432765,0.60247209,0.606694773,0.027235651,,0.000358503
35,0.776823648,0.066823496,0.00514466,0.000720237,0.0001,"(45,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (45,), 'NN__learning_rate_init': 0.001}",0.624277457,0.610199947,0.604298466,0.595375723,0.536923124,0.623523826,0.572680451,0.537140498,0.61849711,0.627326605,0.650709292,0.545568117,0.635107708,0.651985678,0.652692343,0.605753756,0.038988152,3,0.626224119,0.570084793,0.58250772,0.604331145,0.624367228,0.616827716,0.572092856,0.624429551,0.600127709,0.643162281,0.626210081,0.571959323,0.603072158,0.636115043,0.601169219,0.606845396,0.023249896,,0.00109164
79,1.009704208,0.186951783,0.005302095,0.000212852,0.0001,"(40, 40)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40, 40), 'NN__learning_rate_init': 0.001}",0.624277457,0.611921627,0.604298466,0.584205028,0.536923124,0.617476503,0.572680451,0.53528568,0.61849711,0.627326605,0.663016415,0.545568117,0.635107708,0.646900769,0.657028878,0.605367596,0.040408782,4,0.629273021,0.571831392,0.58250772,0.605707158,0.624367228,0.616827716,0.573961801,0.622812431,0.60154722,0.64103823,0.634549638,0.571959323,0.601509819,0.639432765,0.599455044,0.607785367,0.023634844,,0.002417771
70,0.548450422,0.113037625,0.005299743,0.000544092,0.0001,"(30, 30)",0.01,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (30, 30), 'NN__learning_rate_init': 0.01}",0.629909471,0.603283161,0.604298466,0.589732962,0.536923124,0.603167854,0.572680451,0.537140498,0.630280899,0.627326605,0.656880656,0.545568117,0.644994804,0.652478637,0.643029752,0.605179697,0.039837355,5,0.627605784,0.570084793,0.580480767,0.604331145,0.624367228,0.602825089,0.572092856,0.624429551,0.598706726,0.643162281,0.632540904,0.573201394,0.591538877,0.640796618,0.605802103,0.606131074,0.024333258,,0.000951377
31,0.796204678,0.100549012,0.005099583,0.000343027,0.0001,"(40,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (40,), 'NN__learning_rate_init': 0.001}",0.630181414,0.61431886,0.604298466,0.584066012,0.536923124,0.623523826,0.572680451,0.537140498,0.61849711,0.627326605,0.635717893,0.545568117,0.638077605,0.652478637,0.652692343,0.604899397,0.038786485,6,0.624980035,0.547003772,0.58250772,0.604331145,0.624367228,0.616827716,0.572092856,0.624429551,0.60154722,0.643162281,0.609532779,0.571959323,0.585211251,0.640796618,0.601169219,0.603327914,0.02642061,,-0.001571483
51,1.560580571,0.133569307,0.005061277,0.00012323,0.0001,"(5, 5)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (5, 5), 'NN__learning_rate_init': 0.001}",0.636057195,0.611395287,0.604298466,0.589732962,0.536923124,0.623523826,0.565343477,0.543939175,0.607173455,0.627326605,0.650709292,0.545568117,0.6295385,0.651985678,0.64709249,0.604707177,0.038490392,7,0.624980035,0.580139037,0.58250772,0.604331145,0.624367228,0.616827716,0.572092856,0.623099336,0.593145113,0.643162281,0.628033235,0.573201394,0.601509819,0.634117134,0.601169219,0.606845551,0.022227943,,0.002138375
43,0.863994694,0.126702536,0.005210352,0.000386766,0.0001,"(55,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (55,), 'NN__learning_rate_init': 0.001}",0.618624583,0.598206099,0.604298466,0.584066012,0.536923124,0.623523826,0.572680451,0.537140498,0.61849711,0.627326605,0.656880656,0.545568117,0.641115421,0.652478637,0.652692343,0.60466813,0.040027842,8,0.627887167,0.570084793,0.58250772,0.604331145,0.624367228,0.616827716,0.573961801,0.624429551,0.60154722,0.64103823,0.631190071,0.571959323,0.607744523,0.640796618,0.601169219,0.607989488,0.023612055,,0.003321358
39,0.76736989,0.07351187,0.005174367,0.000373084,0.0001,"(50,)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'NN__learning_rate_init': 0.001}",0.624277457,0.603283161,0.604298466,0.589732962,0.536923124,0.623523826,0.572680451,0.537140498,0.61849711,0.627326605,0.644500916,0.545568117,0.635107708,0.652478637,0.652692343,0.604535425,0.038678451,9,0.623457696,0.570084793,0.58250772,0.604331145,0.624367228,0.616827716,0.572092856,0.623099336,0.60154722,0.64103823,0.629141766,0.571959323,0.600855434,0.640796618,0.601169219,0.606885087,0.023433157,,0.002349661
63,1.095796903,0.135962737,0.005094957,8.80E-05,0.0001,"(20, 20)",0.001,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 20), 'NN__learning_rate_init': 0.001}",0.607251708,0.611921627,0.604298466,0.589732962,0.536923124,0.623523826,0.572680451,0.537140498,0.612846597,0.627326605,0.642724572,0.545568117,0.644994804,0.658040074,0.652692343,0.604511052,0.039253669,10,0.630794298,0.571831392,0.584388165,0.604331145,0.624367228,0.616827716,0.572092856,0.624429551,0.60154722,0.643162281,0.611337302,0.57375084,0.588762085,0.63923851,0.601169219,0.605868654,0.02322416,,0.001357602
