k,Kmeans,GMM
2,0.010200064688734226,0.0739584853979896
3,0.02019889029026713,0.08707227164725533
4,0.025311081783520598,0.05103375125624825
5,0.02873276611963087,0.07430441857081115
6,0.026993185725703327,0.05717860304264197
7,0.024413426572233273,0.060186797958921186
8,0.02818293823013325,0.048612580683949386
9,0.027917223046121892,0.04674335454223034
10,0.03484323238073838,0.05266732045269476
11,0.02682964659910841,0.05279887695297155
12,0.03216503338523582,0.05184386600982304
13,0.0376113722650801,0.052290489175967916
14,0.0316821808006022,0.05504171580385896
15,0.03573131528459336,0.053993795193391134
16,0.03195140665334695,0.049294720849646166
18,0.027989206849890064,0.050629713018902726
20,0.03475699813670181,0.05012355466747645
22,0.03354495805232573,0.04872494442691104
24,0.02889724231746455,0.048997808676694295
26,0.032237720096147976,0.04460643641755355
28,0.036337162714780005,0.04216941066740094
30,0.03329341668379477,0.04006080156592868
32,0.03201318103998551,0.04084177703004833
34,0.03208319534921769,0.046036349984764253
36,0.033493228166502916,0.04255984379833768
40,0.03268998822673225,0.03722274024503039
45,0.03146089053461705,0.03743204402070206
50,0.02291633120340246,0.03022777045212285
55,0.03221920990056741,0.03399984062185463
60,0.025723363054655474,0.027221015513811366
