k,Kmeans,GMM
2,0.011293073518055015,0.08382450315622493
3,0.02063885374578159,0.08701753642138912
4,0.022279570172538465,0.044284491062044046
5,0.02422155664409181,0.06619199340185403
6,0.021769135340645934,0.051743902752207055
7,0.020303813221119626,0.048731050085781484
8,0.023309970908772452,0.03841158362646008
9,0.022191428684864765,0.03879527448284875
10,0.027091278596282676,0.04132144785492224
11,0.021579407747716564,0.0414777369265205
12,0.02500766462352161,0.039419426425270805
13,0.028483213563296843,0.04009184775606479
14,0.02459152580413907,0.042549579543944255
15,0.027652506451183303,0.04200453119288641
16,0.0251439400971007,0.03796063693091088
18,0.023234601768653867,0.0392276565501754
20,0.02751376955216627,0.039809109467865436
22,0.027098963522831507,0.03854446076434089
24,0.024461823969240005,0.03933806957603627
26,0.026765210549811642,0.03692690169313388
28,0.02935835769145021,0.03551919701204035
30,0.02809968390445944,0.03464531271153965
32,0.02770250228030584,0.036404745100981066
34,0.028132653327727377,0.039299798107897736
36,0.029477635603133694,0.0364788947238181
40,0.029558151466012633,0.034336661745392086
45,0.02944156510753731,0.03585142383415995
50,0.025881823040694914,0.032523093837332054
55,0.03126331062117949,0.035559138607342486
60,0.028872439125695308,0.03196015873189466
