k,diabetic log-likelihood
2,-2.654373833075483
3,2.450076202381433
4,4.428491377292859
5,4.887796786117432
6,4.8906801244817455
7,6.770545380848544
8,6.983983110699098
9,5.516025862083001
10,7.098086839343265
11,7.69945960733302
12,7.919403938882309
13,8.219913316934242
14,8.339407464509902
15,8.400088368396196
16,8.933837234541423
18,9.284529652562101
20,9.392822443374744
22,10.014932598393761
24,10.395474103993617
26,10.388769797088715
28,11.118723861002993
30,11.50703522397347
32,11.282469545017955
34,11.995011802985811
36,12.468052784851404
40,12.505257090209875
45,13.627723064404439
50,13.936792673483131
55,14.839883731043551
60,15.709049349636256
