k,Kmeans,GMM
2,0.4783092324805339,0.42602892102335926
3,0.5061179087875417,0.5328142380422692
4,0.5183537263626251,0.5283648498331479
5,0.5272525027808677,0.5083426028921023
6,0.5450500556173526,0.5305895439377085
7,0.5539488320355951,0.5350389321468298
8,0.5417130144605117,0.5094549499443827
9,0.5672969966629589,0.5506117908787542
10,0.557285873192436,0.5328142380422692
11,0.5695216907675195,0.5461624026696329
12,0.5461624026696329,0.560622914349277
13,0.5717463848720801,0.557285873192436
14,0.5717463848720801,0.5639599555061179
15,0.5761957730812013,0.5684093437152391
16,0.5672969966629589,0.560622914349277
18,0.5895439377085651,0.5650723025583982
20,0.5962180200222469,0.5728587319243604
22,0.5761957730812013,0.5795328142380423
24,0.5862068965517241,0.5672969966629589
26,0.5973303670745272,0.5672969966629589
28,0.6040044493882091,0.5906562847608454
30,0.5984427141268076,0.5939933259176863
32,0.5806451612903226,0.5862068965517241
34,0.5862068965517241,0.5850945494994438
36,0.5906562847608454,0.5817575083426029
40,0.6040044493882091,0.5873192436040044
45,0.6140155728587319,0.6095661846496107
50,0.6095661846496107,0.5895439377085651
55,0.6162402669632926,0.6151279199110122
60,0.6329254727474972,0.6040044493882091
