k,type,score,label
2,Kmeans,0.028318,1
2,Kmeans,0.11357,1
2,Kmeans,0.174798,1
2,Kmeans,0.119583,1
2,Kmeans,0.425217,0
2,Kmeans,0.027616,1
2,Kmeans,0.231358,1
2,Kmeans,0.121634,1
2,Kmeans,0.113418,1
2,Kmeans,0.203594,1
2,Kmeans,0.137393,1
2,Kmeans,0.312372,0
2,Kmeans,0.207911,0
2,Kmeans,0.170827,1
2,Kmeans,0.329615,0
2,Kmeans,0.191974,0
2,Kmeans,0.264428,0
2,Kmeans,0.128166,1
2,Kmeans,0.094877,1
2,Kmeans,0.205621,0
2,Kmeans,0.134947,1
2,Kmeans,0.411941,0
2,Kmeans,0.076854,1
2,Kmeans,0.161992,1
2,Kmeans,0.253153,0
2,Kmeans,0.210997,0
2,Kmeans,0.35455,0
2,Kmeans,0.037154,1
2,Kmeans,0.268521,0
2,Kmeans,0.157607,0
2,Kmeans,-0.01372,1
2,Kmeans,0.09718,1
2,Kmeans,0.387708,0
2,Kmeans,0.372194,0
2,Kmeans,0.322585,0
2,Kmeans,0.33035,0
2,Kmeans,0.236166,0
2,Kmeans,0.143925,0
2,Kmeans,0.406347,0
2,Kmeans,-0.046635,1
2,Kmeans,0.428654,0
2,Kmeans,0.260649,0
2,Kmeans,0.36359,0
2,Kmeans,0.31588,0
2,Kmeans,0.012105,1
2,Kmeans,0.15436,1
2,Kmeans,0.064349,1
2,Kmeans,0.19728,0
2,Kmeans,0.313128,0
2,Kmeans,0.409419,0
2,Kmeans,0.091287,1
2,Kmeans,0.169602,0
2,Kmeans,0.432019,0
2,Kmeans,0.191974,0
2,Kmeans,0.389891,0
2,Kmeans,0.165131,0
2,Kmeans,0.32038,1
2,Kmeans,0.190902,0
2,Kmeans,0.228341,0
2,Kmeans,0.205621,0
2,Kmeans,0.38499,0
2,Kmeans,0.309233,0
2,Kmeans,-0.05725,1
2,Kmeans,0.419765,0
2,Kmeans,0.328031,0
2,Kmeans,0.098955,0
2,Kmeans,0.084032,1
2,Kmeans,0.3949,0
2,Kmeans,0.431308,0
2,Kmeans,0.320512,0
2,Kmeans,0.244854,0
2,Kmeans,0.157211,1
2,Kmeans,0.415896,0
2,Kmeans,0.019585,1
2,Kmeans,0.396849,0
2,Kmeans,0.178326,1
2,Kmeans,0.351347,0
2,Kmeans,0.161309,0
2,Kmeans,0.167123,1
2,Kmeans,-0.015515,1
2,Kmeans,-0.019219,1
2,Kmeans,0.274699,0
2,Kmeans,0.263792,1
2,Kmeans,0.121735,0
2,Kmeans,0.177454,0
2,Kmeans,-0.012225,1
2,Kmeans,0.400141,0
2,Kmeans,-0.049506,1
2,Kmeans,0.314621,0
2,Kmeans,0.288007,0
2,Kmeans,0.308998,0
2,Kmeans,0.197665,0
2,Kmeans,0.219303,1
2,Kmeans,0.145119,0
2,Kmeans,0.186318,1
2,Kmeans,0.127142,0
2,Kmeans,0.107875,1
2,Kmeans,0.017174,1
2,Kmeans,0.160019,0
2,Kmeans,0.389891,0
2,Kmeans,0.313506,0
2,Kmeans,0.104048,1
2,Kmeans,0.152994,0
2,Kmeans,0.410351,0
2,Kmeans,0.368553,0
2,Kmeans,0.113689,1
2,Kmeans,0.406347,0
2,Kmeans,0.430453,0
2,Kmeans,0.150134,0
2,Kmeans,-0.101197,1
2,Kmeans,0.012084,1
2,Kmeans,0.170223,1
2,Kmeans,0.007251,1
2,Kmeans,0.391281,0
2,Kmeans,0.382,0
2,Kmeans,0.328181,0
2,Kmeans,0.282804,0
2,Kmeans,0.176849,1
2,Kmeans,0.175968,1
2,Kmeans,0.276361,0
2,Kmeans,0.133044,1
2,Kmeans,0.297062,0
2,Kmeans,0.288183,1
2,Kmeans,0.053443,1
2,Kmeans,0.221274,0
2,Kmeans,0.167677,1
2,Kmeans,0.055182,1
2,Kmeans,0.21274,1
2,Kmeans,0.434888,0
2,Kmeans,0.139779,1
2,Kmeans,0.35092,0
