k,Kmeans,GMM
2,0.5301391035548686,0.5301391035548686
3,0.5301391035548686,0.5301391035548686
4,0.60741885625966,0.5455950540958269
5,0.5533230293663061,0.5687789799072643
6,0.5347758887171561,0.5533230293663061
7,0.5409582689335394,0.5811437403400309
8,0.5734157650695518,0.5795981452859351
9,0.5595054095826894,0.5749613601236476
10,0.6182380216383307,0.5780525502318392
11,0.5965996908809892,0.5718701700154559
12,0.6120556414219475,0.5950540958268934
13,0.6213292117465224,0.5873261205564142
14,0.616692426584235,0.6027820710973725
15,0.6228748068006182,0.6105100463678517
16,0.6213292117465224,0.6089644513137558
18,0.6259659969088099,0.624420401854714
20,0.624420401854714,0.6460587326120556
22,0.6120556414219475,0.6306027820710973
24,0.633693972179289,0.6275115919629057
26,0.6321483771251932,0.633693972179289
28,0.6383307573415765,0.615146831530139
30,0.6398763523956723,0.6197836166924265
32,0.642967542503864,0.6228748068006182
34,0.6383307573415765,0.6120556414219475
36,0.6414219474497682,0.6120556414219475
40,0.642967542503864,0.6476043276661515
45,0.6414219474497682,0.6367851622874807
50,0.6537867078825348,0.6398763523956723
55,0.6568778979907264,0.6568778979907264
60,0.6754250386398764,0.6630602782071098
