k,Kmeans,GMM
2,-0.0007940711070209341,-0.0007940711070209341
3,-0.0008467332531669841,-0.0008467332531669841
4,0.03868137301879947,0.002426839432546879
5,0.011386757476974577,0.03497274983361463
6,0.0046991708654772115,0.01071414833100731
7,0.015816790465722062,0.03470687726729781
8,0.019772983453284595,0.027717564134233437
9,0.02843199522905882,0.025896383219663418
10,0.05560694155566219,0.02686661130555298
11,0.02964815423959484,0.021473839981777237
12,0.043780814237586285,0.03464428721716343
13,0.04483844847473124,0.02979552750316891
14,0.03962121576637378,0.04342716303050535
15,0.039767336339112294,0.03928533641957288
16,0.041426720164985,0.03846656569129804
18,0.03604806809465089,0.04545534207321631
20,0.03320920318100367,0.045001216428798535
22,0.029398207100495587,0.04467890408035064
24,0.03512868565098429,0.039685677876989824
26,0.028190931529198375,0.035466859123408655
28,0.0304415319732307,0.03323691781006871
30,0.03415437443693469,0.03012398602981616
32,0.030155848818568216,0.029326762766704432
34,0.027493953382073402,0.02753507638658655
36,0.028454941444604927,0.0278859434870813
40,0.030504628250445517,0.03505751317278406
45,0.022595100521645945,0.030358725615585207
50,0.02839162146685858,0.02786165026778243
55,0.027846837378715506,0.03338339457920156
60,0.029900899494395946,0.03177442849350195
