k,Kmeans,GMM
2,0.0003951425399535412,0.0003951425399535412
3,0.00199519516062759,0.00199519516062759
4,0.04186370809980663,0.005078555165618382
5,0.013265843396830363,0.03276807168732457
6,0.007694679700767593,0.013234380547311528
7,0.016847404391977475,0.031281208483321984
8,0.01843381059834753,0.025428925477576334
9,0.025949792738611685,0.02486742211255862
10,0.04406665975560732,0.025032944681620387
11,0.02530837934318035,0.021628370426283305
12,0.03440523866762472,0.030790908823811757
13,0.03466780404669306,0.02739751532582682
14,0.03079628199876134,0.03659479933743961
15,0.030750237504548097,0.03291596549083176
16,0.03222003775266531,0.03198011605727771
18,0.02902267980858285,0.03739341168109781
20,0.026981209498316307,0.03686636103000184
22,0.02528298363124899,0.03649929921951855
24,0.029296181712668828,0.03399935890861689
26,0.024704557354469168,0.031184034038088063
28,0.027292399814468998,0.030322011938241057
30,0.02900329480577031,0.02817683582194833
32,0.027046729565772285,0.0285436369686674
34,0.025958187489210274,0.028453576703728254
36,0.027468960297432662,0.02920438976111872
40,0.028497646327738994,0.03389842692832372
45,0.02549252484499694,0.03047105026471967
50,0.029344830918897283,0.030298218692802366
55,0.02972082835917002,0.03428915041806499
60,0.03190281718070391,0.034440644439476226
