k,Kmeans,GMM
2,0.00036152521863760446,0.00036152521863760446
3,0.0018537948920718749,0.0018537948920718749
4,0.04330090840594356,0.006571206578816488
5,0.01905119691646968,0.04833715825400472
6,0.0128349540159138,0.019868453701411503
7,0.02965591520412704,0.055602368554316925
8,0.04005129029548426,0.049405808827048266
9,0.05384227072103613,0.04818338458212998
10,0.10494290343410317,0.05326157344749205
11,0.06540984417611462,0.046442333293123014
12,0.0965515786364039,0.0710581414730209
13,0.10392445471986868,0.06544396723030839
14,0.09890153808804737,0.09240056297224553
15,0.10295428195972613,0.090987739096699
16,0.10843237646275157,0.093825701110737
18,0.10245203952817032,0.10991566457375967
20,0.10216192036680047,0.1168415229051331
22,0.09719575164539156,0.12176784140002936
24,0.11505538318521898,0.11409281770110569
26,0.10335188680698078,0.11110942061001607
28,0.11087528120152819,0.10948334346736359
30,0.1271015212134511,0.10903728273892728
32,0.11986578827913473,0.10957308111990047
34,0.11639749541765133,0.10699287742555373
36,0.12184827250657493,0.11101088703990382
40,0.1360103765979621,0.13740749332636962
45,0.12099019983329008,0.14039766049465227
50,0.14635956913129453,0.1415207767293479
55,0.15487188481229963,0.16512126392308665
60,0.16937928620121065,0.16876829086760808
