k,type,score,label
2,Kmeans,0.173149,0
2,Kmeans,0.176645,0
2,Kmeans,0.118877,0
2,Kmeans,0.145801,0
2,Kmeans,0.054713,1
2,Kmeans,0.215727,0
2,Kmeans,0.165858,0
2,Kmeans,0.212174,0
2,Kmeans,0.185347,0
2,Kmeans,0.112804,1
2,Kmeans,0.072916,1
2,Kmeans,0.220698,0
2,Kmeans,0.178145,0
2,Kmeans,0.092698,0
2,Kmeans,0.160882,0
2,Kmeans,0.184129,0
2,Kmeans,0.075686,1
2,Kmeans,0.057273,1
2,Kmeans,0.073753,1
2,Kmeans,0.216287,0
2,Kmeans,0.101453,0
2,Kmeans,0.08141,1
2,Kmeans,0.055568,1
2,Kmeans,0.214713,0
2,Kmeans,0.047504,1
2,Kmeans,0.089659,1
2,Kmeans,0.111926,1
2,Kmeans,0.104624,1
2,Kmeans,0.042574,1
2,Kmeans,0.177949,0
2,Kmeans,0.196226,0
2,Kmeans,0.107653,1
2,Kmeans,0.109929,1
2,Kmeans,0.094224,1
2,Kmeans,0.218971,0
2,Kmeans,0.118178,0
2,Kmeans,0.207676,0
2,Kmeans,0.105762,1
2,Kmeans,0.028969,1
2,Kmeans,0.137596,0
2,Kmeans,0.097124,1
2,Kmeans,0.14399,0
2,Kmeans,0.07633,0
2,Kmeans,0.040384,1
2,Kmeans,0.096473,0
2,Kmeans,0.05586,1
2,Kmeans,0.20652,0
2,Kmeans,0.171567,0
2,Kmeans,0.13833,0
2,Kmeans,0.166049,0
2,Kmeans,0.192338,0
2,Kmeans,0.194801,0
2,Kmeans,0.231759,0
2,Kmeans,0.212972,0
2,Kmeans,0.174855,0
2,Kmeans,0.181267,0
2,Kmeans,0.079996,1
2,Kmeans,0.15753,0
2,Kmeans,0.092106,0
2,Kmeans,0.193332,0
2,Kmeans,0.109836,0
2,Kmeans,0.218182,0
2,Kmeans,0.208574,0
2,Kmeans,0.130437,1
2,Kmeans,0.172536,0
2,Kmeans,0.243657,0
2,Kmeans,0.144373,0
2,Kmeans,0.102512,0
2,Kmeans,0.175025,0
2,Kmeans,0.204543,0
2,Kmeans,0.11043,0
2,Kmeans,0.098009,1
2,Kmeans,0.126343,1
2,Kmeans,0.063558,1
2,Kmeans,0.216112,0
2,Kmeans,0.199938,0
2,Kmeans,0.04161,1
2,Kmeans,0.092934,0
2,Kmeans,0.016751,1
2,Kmeans,0.036816,1
2,Kmeans,0.188722,0
2,Kmeans,0.198628,0
2,Kmeans,0.039659,1
2,Kmeans,0.09768,1
2,Kmeans,0.198891,0
2,Kmeans,0.095118,1
2,Kmeans,0.165567,0
2,Kmeans,0.221544,0
2,Kmeans,0.162556,0
2,Kmeans,0.056267,1
2,Kmeans,0.207149,0
2,Kmeans,0.083257,1
2,Kmeans,0.226447,0
2,Kmeans,0.155467,0
2,Kmeans,0.171025,0
2,Kmeans,0.122566,0
2,Kmeans,0.092952,1
2,Kmeans,0.198384,0
2,Kmeans,0.051407,1
2,Kmeans,0.092323,0
2,Kmeans,0.122362,0
2,Kmeans,0.099395,0
2,Kmeans,0.117028,1
2,Kmeans,0.194212,0
2,Kmeans,0.073008,1
2,Kmeans,0.121379,1
2,Kmeans,0.175584,0
2,Kmeans,0.173419,0
2,Kmeans,0.128975,0
2,Kmeans,0.206308,0
2,Kmeans,0.102657,1
2,Kmeans,0.201066,0
2,Kmeans,0.117916,1
2,Kmeans,0.196124,0
2,Kmeans,0.19063,0
2,Kmeans,0.044933,1
2,Kmeans,0.143242,0
2,Kmeans,0.06022,1
2,Kmeans,0.208854,0
2,Kmeans,0.079477,1
2,Kmeans,0.213003,0
2,Kmeans,0.102264,0
2,Kmeans,0.073148,0
2,Kmeans,0.104597,1
2,Kmeans,0.087178,1
2,Kmeans,0.231044,0
2,Kmeans,0.044004,1
2,Kmeans,0.073565,1
2,Kmeans,0.071794,0
2,Kmeans,0.158079,0
2,Kmeans,0.157316,0
2,Kmeans,0.165974,0
2,Kmeans,0.223205,0
2,Kmeans,0.093795,0
2,Kmeans,0.093909,0
2,Kmeans,0.167779,0
2,Kmeans,0.206659,0
2,Kmeans,0.080588,0
2,Kmeans,0.159544,0
2,Kmeans,0.020836,1
2,Kmeans,0.102047,0
2,Kmeans,0.22329,0
2,Kmeans,0.067812,1
2,Kmeans,0.189178,0
2,Kmeans,0.194548,0
2,Kmeans,0.181639,0
2,Kmeans,0.112299,0
2,Kmeans,0.183961,0
2,Kmeans,0.186135,0
2,Kmeans,0.157185,0
2,Kmeans,0.071261,1
2,Kmeans,0.203821,0
2,Kmeans,0.048219,1
2,Kmeans,0.195494,0
2,Kmeans,0.083838,0
2,Kmeans,0.154889,0
2,Kmeans,0.168304,0
2,Kmeans,0.195153,0
2,Kmeans,0.113482,1
2,Kmeans,0.142263,0
2,Kmeans,0.134989,0
2,Kmeans,0.181149,0
2,Kmeans,0.169355,0
2,Kmeans,0.2323,0
2,Kmeans,0.071589,1
2,Kmeans,0.174398,0
2,Kmeans,0.166492,0
2,Kmeans,0.199193,0
2,Kmeans,0.218135,0
2,Kmeans,0.11373,0
2,Kmeans,0.102914,0
2,Kmeans,0.059297,1
2,Kmeans,0.014531,1
2,Kmeans,0.077145,0
2,Kmeans,0.049367,1
2,Kmeans,0.18931,0
2,Kmeans,0.163183,0
2,Kmeans,0.083681,1
2,Kmeans,0.076556,1
2,Kmeans,0.195423,0
2,Kmeans,0.04425,1
2,Kmeans,0.072071,1
