k,Kmeans,GMM
2,0.13456895267414798,0.13456895267414798
3,0.1306351043001683,0.1306351043001683
4,0.08828396836931855,0.13256898200116668
5,0.0977506645756715,0.12296114962597474
6,0.11795377080688042,0.13333337048531585
7,0.12449049499898107,0.13736510042068661
8,0.1417228401365038,0.1493916732646978
9,0.14595857748408592,0.1470535175612027
10,0.12297787678228304,0.13959026833681562
11,0.1460026839147989,0.14070526803473954
12,0.1466672734622083,0.13741754522885344
13,0.153512586311122,0.13813351815622307
14,0.1403853733951312,0.09649764255283898
15,0.139604617906484,0.07703821717822987
16,0.14390294008923865,0.0794224512546957
18,0.13838058274541523,0.08994757403817036
20,0.14131761155314598,0.07464372593732335
22,0.13144542388372416,0.06437645874259669
24,0.13066749444726264,0.04442447876879205
26,0.13439603651707965,0.05003251917358489
28,0.13373161633453667,0.03565375700365152
30,0.12862415544833694,0.041306206370324415
32,0.13019400317104518,0.04430444826418287
34,0.12929239896092076,0.035984021051328904
36,0.13620825541602882,0.035191931107107444
40,0.13493124054929098,0.020271241571712246
45,0.1392181687752463,0.05339352983303518
50,0.13846449851917633,0.06679099631702518
55,0.12356483272966212,0.040508087961421184
60,0.13037256057493457,0.03153866865548903
