k,Kmeans,GMM
2,0.09657310101075593,-0.00020593606673162634
3,0.05721443854287839,0.0150740017094069
4,0.05227833658922834,0.05602359680304959
5,0.040630404428867464,0.06628502009613187
6,0.08108504405896838,0.07013562868727147
7,0.07969544862518009,0.08914270119723687
8,0.06797216692047617,0.05315690734577096
9,0.06642980282246887,0.05944262689364944
10,0.08639081015437636,0.07069739334776382
11,0.086825136831448,0.06566594698823781
12,0.07898537874129213,0.06909036968448883
13,0.08668626897243688,0.06382155494516509
14,0.08210078562738887,0.08956414786993089
15,0.09361890130762686,0.07562560420915264
16,0.08349649337413084,0.07190762113774052
18,0.09196298983359517,0.0838622735135001
20,0.08321937805871747,0.082788480134218
22,0.08728899830804569,0.07627639129479817
24,0.08065517303824647,0.07218571254018001
26,0.08712893803229843,0.08209739918477613
28,0.08099393751310524,0.07768555142432278
30,0.08170969008104688,0.07386502584465214
32,0.08670247848840176,0.0847339406749967
34,0.09229315608486441,0.07279225083841526
36,0.08397586120287531,0.07222973737205882
40,0.08449292016441153,0.07665384720052976
45,0.07852415186205385,0.07559060321500498
50,0.0832694854672909,0.06963928229880888
55,0.07779950433985534,0.08352116233663177
60,0.08204312845888273,0.07684286399665699
