k,redwine BIC
2,-32155.12856004403
3,-33425.942940225046
4,-33502.881619146065
5,-33723.175903116215
6,-33599.92568005755
7,-33468.25678109674
8,-33477.981335597855
9,-33336.341512096944
10,-33312.3803862259
11,-32970.90270014433
12,-32855.402419489394
13,-32640.188643142606
14,-32564.273564034116
15,-32351.608774625027
16,-32144.14224575984
18,-31878.84323855798
20,-31677.084081944788
22,-31177.31023234404
24,-30876.689062290585
26,-30463.585448480128
28,-30122.977570888776
30,-29865.17708310047
32,-29204.233495107994
34,-28966.887745888715
36,-28574.87152578796
40,-27658.658437217557
45,-26868.00299789967
50,-25966.644060572384
55,-25220.070928923516
60,-24239.007866900327
