k,Kmeans,GMM
2,0.1417548968169194,0.007421876705041693
3,0.06503684190003606,0.03003497036191495
4,0.060131914342389015,0.059282987900797265
5,0.0447986128140964,0.06819005886613483
6,0.08043228588556008,0.07223612115373433
7,0.07562145587844062,0.08743561322886122
8,0.06599811748796912,0.05441505650566648
9,0.063997738868665,0.05964185369069489
10,0.07842971774582544,0.06703006779821413
11,0.07912740812886454,0.06385810198802978
12,0.07261783475714806,0.06554617318833982
13,0.07898518330986873,0.06188905487700938
14,0.0745938949743797,0.08226275335592304
15,0.08316031997926988,0.07067975168112861
16,0.07604969737469056,0.06884605507294933
18,0.08242790565967278,0.07722268133753633
20,0.07617194555826493,0.07681568744315091
22,0.0791246885713554,0.07304599867005225
24,0.07542036193309438,0.07027389644367127
26,0.08090981950143299,0.07745775848644573
28,0.07663247797259753,0.07497210672081524
30,0.0776551341992532,0.07317262140672035
32,0.08138476041304837,0.08115153233552917
34,0.08547018685246896,0.07377570766373195
36,0.08097603400156561,0.07327790773818252
40,0.0823060629134197,0.07759496097199527
45,0.07957494025884437,0.07854246770852968
50,0.08433309208014181,0.07587131343576621
55,0.08197737861920047,0.08572145199729757
60,0.08610884675366715,0.08294015161022832
