k,Kmeans,GMM
2,0.07661089389648133,0.0024052445809701435
3,0.05948356947207185,0.016649254120133475
4,0.05807804154414784,0.06668777175280906
5,0.05399412316264421,0.08274011950564941
6,0.10404680533729005,0.08944960640494468
7,0.11281378236781746,0.11706075702156063
8,0.10235615465747176,0.0836838414387554
9,0.10630510818314012,0.09543810366814373
10,0.1407447773402931,0.11789488147680413
11,0.14430912836603124,0.112658745236208
12,0.13921168852490648,0.12391674113891761
13,0.15258894039266488,0.11964937771532391
14,0.1541450630564736,0.15735088202412215
15,0.17496633971492387,0.1458487859214559
16,0.16377250401310436,0.14169752216134598
18,0.18416350297538317,0.16877060124654944
20,0.17818754007252832,0.1743210333720411
22,0.19496722063631614,0.16842042531563867
24,0.187628394247383,0.16958141924833442
26,0.2010823967363501,0.19308731092712916
28,0.2004907149218635,0.19089023382566897
30,0.20751411397238376,0.18888880180283144
32,0.22309775635152432,0.21271912093771067
34,0.23773542994395416,0.19773788872749842
36,0.2267029659814211,0.20446246476816393
40,0.23796032130905836,0.21938610022548874
45,0.24044737328619442,0.2283088386638812
50,0.2571632442217891,0.23053425046083809
55,0.26070386909720594,0.2705537880625458
60,0.27730552690016,0.2663507686596122
