k,redwine log-likelihood
2,18.220490962242494
3,19.097505487677555
4,19.310517954569793
5,19.60326101381416
6,19.70493371319823
7,19.80192416792037
8,19.97755391822757
9,20.068998808689365
10,20.22589347536355
11,20.206193837137548
12,20.31217684931568
13,20.36270185499112
14,20.49070110829631
15,20.542643793024972
16,20.59747761265013
18,20.790367749413527
20,21.01859706892924
22,21.08107850580449
24,21.254323390703817
26,21.36500851822995
28,21.51601385499919
30,21.713074469745653
32,21.68591756491249
34,21.894354563735163
36,22.01676794137793
40,22.188079319372637
45,22.599443748426157
50,22.949237822635737
55,23.385119664185932
60,23.690584414315477
